ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
d0156393-7771-5820-b7f2-8fdaa42e113c,tg:lhps:4475_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:4475_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/d0156393-7771-5820-b7f2-8fdaa42e113c,object identifier,,,,,,,,,,,
d0156393-7771-5820-b7f2-8fdaa42e113c,tg:lhps:4475_#1,e22_AcquisitionNumbers,1,,,,237351,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0156393-7771-5820-b7f2-8fdaa42e113c,tg:lhps:4475_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,56 x 37,,,,,,,,,,,,"56 x 37 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0156393-7771-5820-b7f2-8fdaa42e113c,tg:lhps:4475_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,560,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0156393-7771-5820-b7f2-8fdaa42e113c,tg:lhps:4475_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,370,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0156393-7771-5820-b7f2-8fdaa42e113c,tg:lhps:4475_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:4475_#1,237351,S 4685 / A,d0156393-7771-5820-b7f2-8fdaa42e113c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0156393-7771-5820-b7f2-8fdaa42e113c,tg:lhps:4475_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
d0156393-7771-5820-b7f2-8fdaa42e113c,tg:lhps:4475_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddfc61fd-1851-5293-b6d4-1e79c41d7deb,au::23103,dr,printers (people),,,,,,,,,,,,,,,,,,
d0156393-7771-5820-b7f2-8fdaa42e113c,tg:lhps:4475_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949.0,permission required,,,,,,,,
d0156393-7771-5820-b7f2-8fdaa42e113c,tg:lhps:4475_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b1IW4RNLxKoYYXQUkaW5yHjW,lhps,https://dams.antwerpen.be/iiif/b1IW4RNLxKoYYXQUkaW5yHjW/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/b1IW4RNLxKoYYXQUkaW5yHjW,DAMS Image,lhps,Affiche
