ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
f1961c00-afac-507c-b340-77b4916544a8,tg:lhps:4618_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:4618_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/f1961c00-afac-507c-b340-77b4916544a8,object identifier,,,,,,,,,,,
f1961c00-afac-507c-b340-77b4916544a8,tg:lhps:4618_#1,e22_AcquisitionNumbers,1,,,,237413,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1961c00-afac-507c-b340-77b4916544a8,tg:lhps:4618_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,36 x 55,,,,,,,,,,,,"36 x 55 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1961c00-afac-507c-b340-77b4916544a8,tg:lhps:4618_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,360,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1961c00-afac-507c-b340-77b4916544a8,tg:lhps:4618_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,550,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1961c00-afac-507c-b340-77b4916544a8,tg:lhps:4618_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:4618_#1,237413,S 4685 / A,f1961c00-afac-507c-b340-77b4916544a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1961c00-afac-507c-b340-77b4916544a8,tg:lhps:4618_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
f1961c00-afac-507c-b340-77b4916544a8,tg:lhps:4618_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddfc61fd-1851-5293-b6d4-1e79c41d7deb,au::23103,dr,printers (people),,,,,,,,,,,,,,,,,,
f1961c00-afac-507c-b340-77b4916544a8,tg:lhps:4618_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938.0,permission required,,,,,,,,
f1961c00-afac-507c-b340-77b4916544a8,tg:lhps:4618_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n1ZSXHRRgtAq9Zbt6YGtIWze,lhps,https://dams.antwerpen.be/iiif/n1ZSXHRRgtAq9Zbt6YGtIWze/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/n1ZSXHRRgtAq9Zbt6YGtIWze,DAMS Image,lhps,Affiche
