ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
8fe3cd19-aeca-5e02-bc62-2ec4001b8ff9,tg:lhps:18159_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:18159_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/8fe3cd19-aeca-5e02-bc62-2ec4001b8ff9,object identifier,,,,,,,,,,,
8fe3cd19-aeca-5e02-bc62-2ec4001b8ff9,tg:lhps:18159_#1,e22_AcquisitionNumbers,1,,,,225163,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fe3cd19-aeca-5e02-bc62-2ec4001b8ff9,tg:lhps:18159_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,"42,5 x 62",,,,,,,,,,,,"42,5 x 62 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fe3cd19-aeca-5e02-bc62-2ec4001b8ff9,tg:lhps:18159_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,425,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fe3cd19-aeca-5e02-bc62-2ec4001b8ff9,tg:lhps:18159_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,620,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fe3cd19-aeca-5e02-bc62-2ec4001b8ff9,tg:lhps:18159_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:18159_#1,225163,C 2842056 / A,8fe3cd19-aeca-5e02-bc62-2ec4001b8ff9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fe3cd19-aeca-5e02-bc62-2ec4001b8ff9,tg:lhps:18159_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
8fe3cd19-aeca-5e02-bc62-2ec4001b8ff9,tg:lhps:18159_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f3e136d2-66e7-502d-89b2-765d7ac9f9ef,au::44366,dr,printers (people),,,,,,,,,,,,,,,,,,
8fe3cd19-aeca-5e02-bc62-2ec4001b8ff9,tg:lhps:18159_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943.0,permission required,,,,,,,,
8fe3cd19-aeca-5e02-bc62-2ec4001b8ff9,tg:lhps:18159_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b1pRoY9EKaldyYnUbLiPK7j6,lhps,https://dams.antwerpen.be/iiif/b1pRoY9EKaldyYnUbLiPK7j6/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/b1pRoY9EKaldyYnUbLiPK7j6,DAMS Image,lhps,Affiche
