ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
8d013c7a-7cc4-5ff1-ac2f-a4fa8ac41c3e,tg:lhps:21571_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:21571_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/8d013c7a-7cc4-5ff1-ac2f-a4fa8ac41c3e,object identifier,,,,,,,,,,,
8d013c7a-7cc4-5ff1-ac2f-a4fa8ac41c3e,tg:lhps:21571_#1,e22_AcquisitionNumbers,1,,,,215099,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d013c7a-7cc4-5ff1-ac2f-a4fa8ac41c3e,tg:lhps:21571_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,"95,5 x 61,5",,,,,,,,,,,,"95,5 x 61,5 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d013c7a-7cc4-5ff1-ac2f-a4fa8ac41c3e,tg:lhps:21571_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,955,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d013c7a-7cc4-5ff1-ac2f-a4fa8ac41c3e,tg:lhps:21571_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,615,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d013c7a-7cc4-5ff1-ac2f-a4fa8ac41c3e,tg:lhps:21571_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:21571_#1,215099,J 251 / A,8d013c7a-7cc4-5ff1-ac2f-a4fa8ac41c3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d013c7a-7cc4-5ff1-ac2f-a4fa8ac41c3e,tg:lhps:21571_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
8d013c7a-7cc4-5ff1-ac2f-a4fa8ac41c3e,tg:lhps:21571_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d7668bda-4daf-5605-9c1b-b9670efc06cc,au::44368,dr,printers (people),,,,,,,,,,,,,,,,,,
8d013c7a-7cc4-5ff1-ac2f-a4fa8ac41c3e,tg:lhps:21571_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953.0,permission required,,,,,,,,
8d013c7a-7cc4-5ff1-ac2f-a4fa8ac41c3e,tg:lhps:21571_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BU5P3KZaQUHONebUi7iOcZVv,lhps,https://dams.antwerpen.be/iiif/BU5P3KZaQUHONebUi7iOcZVv/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/BU5P3KZaQUHONebUi7iOcZVv,DAMS Image,lhps,Affiche
