ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Identifier,Object Type,source_date,Restriction Type
f711fd3a-962e-5b2b-9b6f-accb7c07b8ca,tg:lhps:44971_#2,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:44971_#2,https://data.letterenhuis.be/ark:/24970/f711fd3a-962e-5b2b-9b6f-accb7c07b8ca,,,
f711fd3a-962e-5b2b-9b6f-accb7c07b8ca,tg:lhps:44971_#2,e22_AcquisitionNumbers,2,,,,300035/264,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f711fd3a-962e-5b2b-9b6f-accb7c07b8ca,tg:lhps:44971_#2,e22_Acquisitions,2,tr:lh:9999,"dlod={""name"":""Affichecollectie Museum Plantin-Moretus/Stedelijk Prentenkabinet"",""ark"":""ark:/24970/x0/ee28e167-ceb3-533a-a133-4a27a988147d"",""uri"":""/repositories/11/accessions/1069896"",""id"":""tr:lh:9999"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/ee28e167-ceb3-533a-a133-4a27a988147d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f711fd3a-962e-5b2b-9b6f-accb7c07b8ca,tg:lhps:44971_#2,e22_Archives,2,,,,,,,,,,,isad:lh:97845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f711fd3a-962e-5b2b-9b6f-accb7c07b8ca,tg:lhps:44971_#2,e22_Carrier,1,,,,,,,,,,,,,,kenmerken.lhdragerps,canvas (textile material),,,,,,,,,,,,,,,,,,,,,,,,,,,,
f711fd3a-962e-5b2b-9b6f-accb7c07b8ca,tg:lhps:44971_#2,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,50 x 32,,,,,,,,,,,,"50 x 32 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,
f711fd3a-962e-5b2b-9b6f-accb7c07b8ca,tg:lhps:44971_#2,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,500,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
f711fd3a-962e-5b2b-9b6f-accb7c07b8ca,tg:lhps:44971_#2,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,320,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
f711fd3a-962e-5b2b-9b6f-accb7c07b8ca,tg:lhps:44971_#2,e22_Items,2,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:44971_#2,300035/264,"M 935 (Pl. IX, 264)",f711fd3a-962e-5b2b-9b6f-accb7c07b8ca,tr:lh:9999,isad:lh:97845,,,,,,,,,,,,,,,,,
f711fd3a-962e-5b2b-9b6f-accb7c07b8ca,tg:lhps:44971_#2,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,
f711fd3a-962e-5b2b-9b6f-accb7c07b8ca,tg:lhps:44971_#2,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8b38d1bd-2fb4-5441-9763-9496f3dec9d2,au::45671,dr,printers (people),,,,,,,,
f711fd3a-962e-5b2b-9b6f-accb7c07b8ca,tg:lhps:44971_#2,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942.0,permission required
