ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
ed62c751-0700-5c3a-8ec3-2ad76d281e68,tg:lhps:40250_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:40250_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/ed62c751-0700-5c3a-8ec3-2ad76d281e68,object identifier,,,,,,,,,,,
ed62c751-0700-5c3a-8ec3-2ad76d281e68,tg:lhps:40250_#1,e22_AcquisitionNumbers,1,,,,158563/6,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed62c751-0700-5c3a-8ec3-2ad76d281e68,tg:lhps:40250_#1,e22_Acquisitions,1,tr:lh:6462,"dlod={""name"":""Archief van Renaat Verbruggen"",""ark"":""ark:/24970/x0/45240639-fe6a-56f7-acf3-f6d922b5a43e"",""uri"":""/repositories/11/accessions/691437"",""id"":""tr:lh:6462"",""date"":""1988-02-02"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/45240639-fe6a-56f7-acf3-f6d922b5a43e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed62c751-0700-5c3a-8ec3-2ad76d281e68,tg:lhps:40250_#1,e22_Archives,1,,,,,,,,,,,isad:lh:92877,"dlod={""name"":""Affiches (verzameling)"",""ark"":""ark:/24970/x0/a403e120-6ad5-57f0-9e15-248d3c8551af"",""uri"":""/repositories/11/archival_objects/9937842"",""id"":""isad:lh:92877"",""nameWithContext"":[""Verzamelingen"",""Affiches""],""resourceName"":""Archief van Renaat Verbruggen"",""resourceArk"":""ark:/24970/x0/2fecb6c3-f56f-53a3-8210-e3a42d91abc9"",""resourceURI"":""/repositories/11/resources/90204"",""resourceID"":""isad:lh:843"",""capacity"":""Affiches (verzameling)"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/a403e120-6ad5-57f0-9e15-248d3c8551af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed62c751-0700-5c3a-8ec3-2ad76d281e68,tg:lhps:40250_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,39 x 27,,,,,,,,,,,,"39 x 27 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed62c751-0700-5c3a-8ec3-2ad76d281e68,tg:lhps:40250_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,390,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed62c751-0700-5c3a-8ec3-2ad76d281e68,tg:lhps:40250_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,270,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed62c751-0700-5c3a-8ec3-2ad76d281e68,tg:lhps:40250_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:40250_#1,158563/6,V 34845 / A,ed62c751-0700-5c3a-8ec3-2ad76d281e68,tr:lh:6462,isad:lh:92877,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed62c751-0700-5c3a-8ec3-2ad76d281e68,tg:lhps:40250_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
ed62c751-0700-5c3a-8ec3-2ad76d281e68,tg:lhps:40250_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945.0,permission required,,,,,,,,
ed62c751-0700-5c3a-8ec3-2ad76d281e68,tg:lhps:40250_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w29VSPjDrmHPOYmKlVdVJG9G,lhps,https://dams.antwerpen.be/iiif/w29VSPjDrmHPOYmKlVdVJG9G/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/w29VSPjDrmHPOYmKlVdVJG9G,DAMS Image,lhps,Affiche
