ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Identifier,Object Type,source_date,Restriction Type
d1063f11-8cc6-50ba-8dc1-c5cb3d0ce274,tg:lhps:13830_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:13830_#1,https://data.letterenhuis.be/ark:/24970/d1063f11-8cc6-50ba-8dc1-c5cb3d0ce274,,,
d1063f11-8cc6-50ba-8dc1-c5cb3d0ce274,tg:lhps:13830_#1,e22_AcquisitionNumbers,1,,,,214345,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1063f11-8cc6-50ba-8dc1-c5cb3d0ce274,tg:lhps:13830_#1,e22_Acquisitions,1,tr:lh:7632,"dlod={""name"":""Oningeschreven gevonden in 2005"",""ark"":""ark:/24970/x0/7f767ed7-edb6-5f98-b38f-0075206c5776"",""uri"":""/repositories/11/accessions/816627"",""id"":""tr:lh:7632"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/7f767ed7-edb6-5f98-b38f-0075206c5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1063f11-8cc6-50ba-8dc1-c5cb3d0ce274,tg:lhps:13830_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,40 x 50,,,,,,,,,,,,"40 x 50 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,
d1063f11-8cc6-50ba-8dc1-c5cb3d0ce274,tg:lhps:13830_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,400,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
d1063f11-8cc6-50ba-8dc1-c5cb3d0ce274,tg:lhps:13830_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,500,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
d1063f11-8cc6-50ba-8dc1-c5cb3d0ce274,tg:lhps:13830_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:13830_#1,214345,B 1155 / A,d1063f11-8cc6-50ba-8dc1-c5cb3d0ce274,tr:lh:7632,,,,,,,,,,,,,,,,,,
d1063f11-8cc6-50ba-8dc1-c5cb3d0ce274,tg:lhps:13830_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,
d1063f11-8cc6-50ba-8dc1-c5cb3d0ce274,tg:lhps:13830_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83834ffe-d178-5e87-9749-8fbfb79ad96f,au::44373,dr,printers (people),,,,,,,,
d1063f11-8cc6-50ba-8dc1-c5cb3d0ce274,tg:lhps:13830_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945.0,permission required
