ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
aefdd10a-d731-54b2-ab28-6824ece0e1ca,tg:lhps:30605_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:30605_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/aefdd10a-d731-54b2-ab28-6824ece0e1ca,object identifier,,,,,,,,,,,
aefdd10a-d731-54b2-ab28-6824ece0e1ca,tg:lhps:30605_#1,e22_AcquisitionNumbers,1,,,,225263/583a,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aefdd10a-d731-54b2-ab28-6824ece0e1ca,tg:lhps:30605_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,40 x 29,,,,,,,,,,,,"40 x 29 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aefdd10a-d731-54b2-ab28-6824ece0e1ca,tg:lhps:30605_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,400,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aefdd10a-d731-54b2-ab28-6824ece0e1ca,tg:lhps:30605_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,290,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aefdd10a-d731-54b2-ab28-6824ece0e1ca,tg:lhps:30605_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:30605_#1,225263/583a,A 1811 / A,aefdd10a-d731-54b2-ab28-6824ece0e1ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aefdd10a-d731-54b2-ab28-6824ece0e1ca,tg:lhps:30605_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
aefdd10a-d731-54b2-ab28-6824ece0e1ca,tg:lhps:30605_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d75c4171-1771-561b-a094-244b86895c01,au::44862,dr,printers (people),,,,,,,,,,,,,,,,,,
aefdd10a-d731-54b2-ab28-6824ece0e1ca,tg:lhps:30605_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965.0,permission required,,,,,,,,
aefdd10a-d731-54b2-ab28-6824ece0e1ca,tg:lhps:30605_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AZNtSAHbIFcJeghCAvPJY5bN,lhps,https://dams.antwerpen.be/iiif/AZNtSAHbIFcJeghCAvPJY5bN/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/AZNtSAHbIFcJeghCAvPJY5bN,DAMS Image,lhps,Affiche
