ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
3b485389-09b4-5fe7-a1fa-0b2f9375535d,tg:lhps:17097_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:17097_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/3b485389-09b4-5fe7-a1fa-0b2f9375535d,object identifier,,,,,,,,,,,
3b485389-09b4-5fe7-a1fa-0b2f9375535d,tg:lhps:17097_#1,e22_AcquisitionNumbers,1,,,,216829/445,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b485389-09b4-5fe7-a1fa-0b2f9375535d,tg:lhps:17097_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,60 x 40,,,,,,,,,,,,"60 x 40 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b485389-09b4-5fe7-a1fa-0b2f9375535d,tg:lhps:17097_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,600,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b485389-09b4-5fe7-a1fa-0b2f9375535d,tg:lhps:17097_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,400,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b485389-09b4-5fe7-a1fa-0b2f9375535d,tg:lhps:17097_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:17097_#1,216829/445,KK 151 / A,3b485389-09b4-5fe7-a1fa-0b2f9375535d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b485389-09b4-5fe7-a1fa-0b2f9375535d,tg:lhps:17097_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
3b485389-09b4-5fe7-a1fa-0b2f9375535d,tg:lhps:17097_#1,e22_ProductionActors,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f4cc8fe7-33b6-5839-940e-07b18e416e89,au::46335,dr,printers (people),,,,,,,,,,,,,,,,,,
3b485389-09b4-5fe7-a1fa-0b2f9375535d,tg:lhps:17097_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0,permission required,,,,,,,,
3b485389-09b4-5fe7-a1fa-0b2f9375535d,tg:lhps:17097_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2beD9ZnKPqHdZXKVaxXCvYf,lhps,https://dams.antwerpen.be/iiif/T2beD9ZnKPqHdZXKVaxXCvYf/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/T2beD9ZnKPqHdZXKVaxXCvYf,DAMS Image,lhps,Affiche
