ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,End Date,Start Date Type,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
1eda5dbc-6d95-57ab-887c-f726158aa862,tg:lhtk:4434,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:4434,record identifiers,https://data.letterenhuis.be/ark:/24970/1eda5dbc-6d95-57ab-887c-f726158aa862,object identifier,Tekeningen,,,,,,
1eda5dbc-6d95-57ab-887c-f726158aa862,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""56ecf245-1a97-4cfa-860f-eaa65053e75c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""05406a5c-a121-4e2e-89f5-cf40a67e2c88"", ""inverseOntologyProperty"": """"}]"
1eda5dbc-6d95-57ab-887c-f726158aa862,tg:lhtk:4434,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
1eda5dbc-6d95-57ab-887c-f726158aa862,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/tk/000001803,referentienummer,False,,,,,,,,,,,,,,,,,,,,
1eda5dbc-6d95-57ab-887c-f726158aa862,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhtk:4434,brocade id,False,,,,,,,,,,,,,,,,,,,,
1eda5dbc-6d95-57ab-887c-f726158aa862,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhtk:4434/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
1eda5dbc-6d95-57ab-887c-f726158aa862,,e73_LegacyInformation,2,note.lhherkomst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Jan de Schuyter</p>
",herkomst,False,,,,,,,,,,,,,,,,,,,,
1eda5dbc-6d95-57ab-887c-f726158aa862,tg:lhtk:4434,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""87fca7fe-fd00-51c4-b680-9852ed5f4163"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ce21c6dd-c870-4923-b79d-2783e4490248"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
1eda5dbc-6d95-57ab-887c-f726158aa862,tg:lhtk:4434,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ridders,constructed titles,Dutch (language),,,,,,,,,,,,
1eda5dbc-6d95-57ab-887c-f726158aa862,tg:lhtk:4434,e73_Titles,,,au::16748,,,,lh,lhtk,Iconografie,c17f4ab6-d5ae-5834-87b5-9aea16d812c5,ar,artists (visual artists),au::16748:1,au::16748g:1,,"dlod={""suggest"":[""/agents/people/1792036"",""au::16748"",""au::16748:1"",""ark:/83110/x0/c17f4ab6-d5ae-5834-87b5-9aea16d812c5"",""Jan de Schuyter"",""ark:/83110/x0/ca573639-355d-593c-908e-0084a3072b65""],""name"":""Jan de Schuyter"",""ark"":""ark:/83110/x0/ca573639-355d-593c-908e-0084a3072b65"",""uri"":""/agents/people/1792036"",""id"":""au::16748:1"",""resourceArk"":""ark:/83110/x0/c17f4ab6-d5ae-5834-87b5-9aea16d812c5"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c17f4ab6-d5ae-5834-87b5-9aea16d812c5,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
