ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,End Date,Start Date Type,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
c6a6b0fa-305b-508d-9e71-affb62ecb950,tg:lhpr:12149,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:12149,record identifiers,https://data.letterenhuis.be/ark:/24970/c6a6b0fa-305b-508d-9e71-affb62ecb950,object identifier,Prenten,,,,,,
c6a6b0fa-305b-508d-9e71-affb62ecb950,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""45d0c1a5-4c87-404b-abe9-1421203b7da6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c18ea9fc-ae62-4ca9-b6fd-0f31e67edbec"", ""inverseOntologyProperty"": """"}]"
c6a6b0fa-305b-508d-9e71-affb62ecb950,tg:lhpr:12149,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
c6a6b0fa-305b-508d-9e71-affb62ecb950,tg:lhpr:12149,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Decoratieve ornamenten rond een notenbalk.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6a6b0fa-305b-508d-9e71-affb62ecb950,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/pr/000004307,referentienummer,False,,,,,,,,,,,,,,,,,,,,
c6a6b0fa-305b-508d-9e71-affb62ecb950,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhpr:12149,brocade id,False,,,,,,,,,,,,,,,,,,,,
c6a6b0fa-305b-508d-9e71-affb62ecb950,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhpr:12149/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
c6a6b0fa-305b-508d-9e71-affb62ecb950,tg:lhpr:12149,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""47d94d3f-de74-5380-95ab-ebec1e6fa1ad"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a6408603-cbce-4ff3-8989-6e85177865e8"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
c6a6b0fa-305b-508d-9e71-affb62ecb950,tg:lhpr:12149,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex libris voor Eric Bengtsson,constructed titles,Dutch (language),,,,,,,,,,,,
c6a6b0fa-305b-508d-9e71-affb62ecb950,tg:lhpr:12149,e73_Titles,,,au::6498,,,,lh,lhpr,Iconografie,54a69fd6-2e8d-545e-8c5e-16005f9c2ee9,kw,,au::6498:1,au::6498g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""name"":""Ex libris"",""ark"":""ark:/83110/x0/54a69fd6-2e8d-545e-8c5e-16005f9c2ee9"",""uri"":""/subjects/695286"",""id"":""au::6498"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""topic""}",ark:/83110/x0/54a69fd6-2e8d-545e-8c5e-16005f9c2ee9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
