ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
3b600262-1899-54a5-9134-01647a41925d,tg:lhbr:45370,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:45370,record identifiers,https://data.letterenhuis.be/ark:/24970/3b600262-1899-54a5-9134-01647a41925d,object identifier,Brieven,,,,,,
3b600262-1899-54a5-9134-01647a41925d,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""bc3046b3-cf68-44df-a086-0957de062d62"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4ba3a42c-bc97-4972-92fa-2df6dd662f61"", ""inverseOntologyProperty"": """"}]"
3b600262-1899-54a5-9134-01647a41925d,tg:lhbr:45370,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0,2088,In Copyright,
3b600262-1899-54a5-9134-01647a41925d,tg:lhbr:45370,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19730125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b600262-1899-54a5-9134-01647a41925d,tg:lhbr:45370,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1973-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b600262-1899-54a5-9134-01647a41925d,tg:lhbr:45370,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
3b600262-1899-54a5-9134-01647a41925d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000043725,referentienummer,False,,,,,,,,,,,,,,,
3b600262-1899-54a5-9134-01647a41925d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:45370,brocade id,False,,,,,,,,,,,,,,,
3b600262-1899-54a5-9134-01647a41925d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:45370/N,brocade url,False,,,,,,,,,,,,,,,
3b600262-1899-54a5-9134-01647a41925d,tg:lhbr:45370,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d9b00562-7ed5-5ceb-b6c1-bc03aec5e57c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20aa955d-b918-482c-8ecb-26c0336eeb33"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
3b600262-1899-54a5-9134-01647a41925d,tg:lhbr:45370,e73_Titles,,,au::5496,,,,lhbr,lhbr,Brief,b1efa6b7-dc46-5bca-84b0-4d339e0238eb,bs,,au::5496:1,au::5496g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/588072"",""au::5496"",""au::5496:1"",""ark:/83110/x0/b1efa6b7-dc46-5bca-84b0-4d339e0238eb"",""Luc Devliegher"",""ark:/83110/x0/0165ec77-4f20-5d52-b596-2763d68a066b""],""name"":""Luc Devliegher"",""ark"":""ark:/83110/x0/0165ec77-4f20-5d52-b596-2763d68a066b"",""uri"":""/agents/people/588072"",""id"":""au::5496:1"",""resourceArk"":""ark:/83110/x0/b1efa6b7-dc46-5bca-84b0-4d339e0238eb"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/b1efa6b7-dc46-5bca-84b0-4d339e0238eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b600262-1899-54a5-9134-01647a41925d,tg:lhbr:45370,e73_Titles,,,au::18596,,,,lhbr,lhbr,Brief,73999928-745e-5c4a-a0b7-134dbd8777df,co,,au::18596:1,au::18596g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1989772"",""au::18596"",""au::18596:1"",""ark:/83110/x0/73999928-745e-5c4a-a0b7-134dbd8777df"",""Clemens Victor Trefois"",""ark:/83110/x0/9136bff6-3c91-5b73-8087-ef9bdbe811dd""],""name"":""Clemens Victor Trefois"",""ark"":""ark:/83110/x0/9136bff6-3c91-5b73-8087-ef9bdbe811dd"",""uri"":""/agents/people/1989772"",""id"":""au::18596:1"",""resourceArk"":""ark:/83110/x0/73999928-745e-5c4a-a0b7-134dbd8777df"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/73999928-745e-5c4a-a0b7-134dbd8777df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
