ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
34c48a9e-5a09-5e0f-b7d2-dcfbdba2be19,tg:lhbr:296434,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:296434,record identifiers,https://data.letterenhuis.be/ark:/24970/34c48a9e-5a09-5e0f-b7d2-dcfbdba2be19,object identifier,Brieven,,,,,,
34c48a9e-5a09-5e0f-b7d2-dcfbdba2be19,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4fb174b0-2db7-46cf-b018-9d2f3cd13883"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fef3401e-ac48-4c06-be1d-39abdeba8226"", ""inverseOntologyProperty"": """"}]"
34c48a9e-5a09-5e0f-b7d2-dcfbdba2be19,tg:lhbr:296434,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981.0,2096,In Copyright,
34c48a9e-5a09-5e0f-b7d2-dcfbdba2be19,tg:lhbr:296434,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19810508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34c48a9e-5a09-5e0f-b7d2-dcfbdba2be19,tg:lhbr:296434,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1981-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34c48a9e-5a09-5e0f-b7d2-dcfbdba2be19,tg:lhbr:296434,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
34c48a9e-5a09-5e0f-b7d2-dcfbdba2be19,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000284841,referentienummer,False,,,,,,,,,,,,,,,
34c48a9e-5a09-5e0f-b7d2-dcfbdba2be19,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:296434,brocade id,False,,,,,,,,,,,,,,,
34c48a9e-5a09-5e0f-b7d2-dcfbdba2be19,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:296434/N,brocade url,False,,,,,,,,,,,,,,,
34c48a9e-5a09-5e0f-b7d2-dcfbdba2be19,tg:lhbr:296434,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""53fe95de-8a38-5739-b927-c5348541d6ba"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2fae5f33-68c0-498a-9927-8691cab58b1a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
34c48a9e-5a09-5e0f-b7d2-dcfbdba2be19,tg:lhbr:296434,e73_Titles,,,au::9829,,,,lhbr,lhbr,Brief,9547038a-9d88-5852-8a84-a09c3973433d,bs,,au::9829:1,au::9829g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1051703"",""au::9829"",""au::9829:1"",""ark:/83110/x0/9547038a-9d88-5852-8a84-a09c3973433d"",""Roland Jooris"",""ark:/83110/x0/dfe4402c-52b5-5a8c-a682-a2741f919d39""],""name"":""Roland Jooris"",""ark"":""ark:/83110/x0/dfe4402c-52b5-5a8c-a682-a2741f919d39"",""uri"":""/agents/people/1051703"",""id"":""au::9829:1"",""resourceArk"":""ark:/83110/x0/9547038a-9d88-5852-8a84-a09c3973433d"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9547038a-9d88-5852-8a84-a09c3973433d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34c48a9e-5a09-5e0f-b7d2-dcfbdba2be19,tg:lhbr:296434,e73_Titles,,,au::4308,,,,lhbr,lhbr,Brief,a08e3ed3-5baa-5f65-ab45-ac43d5ed4a6b,co,,au::4308:1,au::4308g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/460956"",""au::4308"",""au::4308:1"",""ark:/83110/x0/a08e3ed3-5baa-5f65-ab45-ac43d5ed4a6b"",""Herman de Coninck"",""ark:/83110/x0/3ba2ce49-76ac-5719-a894-d94d45c45024""],""name"":""Herman de Coninck"",""ark"":""ark:/83110/x0/3ba2ce49-76ac-5719-a894-d94d45c45024"",""uri"":""/agents/people/460956"",""id"":""au::4308:1"",""resourceArk"":""ark:/83110/x0/a08e3ed3-5baa-5f65-ab45-ac43d5ed4a6b"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/a08e3ed3-5baa-5f65-ab45-ac43d5ed4a6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
