ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Documented Place Order,Documented Place Name Widget,Creation Place Widget,Transactions
5a1616ff-b524-5238-ad99-97630ca52384,tg:rubgr:1167,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:1167,https://data.rubenianum.be//ark:/86530/5a1616ff-b524-5238-ad99-97630ca52384,Handschriften,,,,,,,
5a1616ff-b524-5238-ad99-97630ca52384,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""1e918d75-757e-4122-944f-d3a0dc56bd9c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3aea66c9-8a63-4b95-b2a5-ceeff576eff5"", ""inverseOntologyProperty"": """"}]"
5a1616ff-b524-5238-ad99-97630ca52384,tg:rubgr:1167,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,,,,
5a1616ff-b524-5238-ad99-97630ca52384,tg:rubgr:1167,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kornernte. Nachwirkung bei Jan Brueghel in Bild bei Enia Pereman (vielleicht 1614), Klauner, Abb. 14 Klauner, p. 24 [= Friderike Klauner, Zur Landschaft Jan Brueghels d. Ä., in: Nationalmusei årsbok (1949-1950), pp. 5-28] hat die Bemerkung schon gemacht.",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a1616ff-b524-5238-ad99-97630ca52384,tg:rubgr:1167,e73_ExternalRelationsExtras,a::rub.29,ow.link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,online catalogs,54294,https://rkd.nl/nl/explore/images/,RKDimages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a1616ff-b524-5238-ad99-97630ca52384,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000001167,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,
5a1616ff-b524-5238-ad99-97630ca52384,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>3424</priref>
			<number>AFG_027_005</number>
			<content>Kornernte. Nachwirkung bei Jan Brueghel in Bild bei Enia Pereman (vielleicht 1614), Klauner, Abb. 14 Klauner, p. 24 [= Friderike Klauner, Zur Landschaft Jan Brueghels d. &#196;., in: Nationalmusei &#229;rsbok (1949-1950), pp. 5-28] hat die Bemerkung schon gemacht.</content>
			<object.object_number>AFG_027</object.object_number>
			<object.object_name>schilderij</object.object_name>
			<class>AFG</class>
			<editorial_form>Notitie</editorial_form>
			<object.title>The Months: The Corn Harvest</object.title>
			<keyword>Brueghel, Jan I</keyword>
			<object.creator>Bruegel, Pieter I</object.creator>
			<input.date>2012-05-10</input.date>
			<edit.date>2012-07-10</edit.date>
			<edit.date>2012-05-11</edit.date>
			<edit.date>2012-05-10</edit.date>
			<edit.date>2012-05-10</edit.date>
			<edit.date>2012-05-10</edit.date>
			<edit.date>2012-05-10</edit.date>
			<input.name>valkeneers</input.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.time>10:43:15</edit.time>
			<edit.time>14:31:34</edit.time>
			<edit.time>15:50:41</edit.time>
			<edit.time>10:23:45</edit.time>
			<edit.time>10:22:36</edit.time>
			<edit.time>10:11:26</edit.time>
			<input.time>10:09:20</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,,
5a1616ff-b524-5238-ad99-97630ca52384,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:1167,brocade id,False,,,,,,,,,,,,,,,,,,,,,,
5a1616ff-b524-5238-ad99-97630ca52384,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:1167/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,,
5a1616ff-b524-5238-ad99-97630ca52384,tg:rubgr:1167,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a9a8b6d4-0115-5e6c-afef-a94fae860689"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5cb3c07d-5eb3-44ad-9f7a-90e09f49a913"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,
5a1616ff-b524-5238-ad99-97630ca52384,tg:rubgr:1167,e73_OriginalBrocade,,,au::3025,,,,,,,,,,,,,,rub,59eb3f16-3ccd-5155-9cba-c85b515f01ef,kw,,au::3025:1,au::3025g:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/323675"",""au::3025"",""au::3025:1"",""ark:/83110/x0/59eb3f16-3ccd-5155-9cba-c85b515f01ef"",""Jan I Brueghel""],""name"":""Jan I Brueghel"",""ark"":""ark:/83110/x0/59eb3f16-3ccd-5155-9cba-c85b515f01ef"",""uri"":""/agents/people/323675"",""id"":""au::3025:1"",""isCapacity"":false}",ark:/83110/x0/59eb3f16-3ccd-5155-9cba-c85b515f01ef,agent,,,,,,,,,,,,,,,,
5a1616ff-b524-5238-ad99-97630ca52384,tg:rubgr:1167,e73_OtherIdentifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG_027_005,repository numbers,,,,,,,,,,,,,,
5a1616ff-b524-5238-ad99-97630ca52384,tg:rubgr:1167,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG_027_005,titles proper,Dutch (language),,,,,,,,,,,
