ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
ed725d68-dc48-5b78-bd00-0819f917c607,tg:lhbr:272530,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:272530,record identifiers,https://data.letterenhuis.be/ark:/24970/ed725d68-dc48-5b78-bd00-0819f917c607,object identifier,Brieven,,,,,,
ed725d68-dc48-5b78-bd00-0819f917c607,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""50eb8ae3-1e49-4951-a6a5-dc31336cb6fa"", ""ontologyProperty"": """", ""resourceXresourceId"": ""34b27d17-b5a7-4099-a3dc-4db6bb5f8648"", ""inverseOntologyProperty"": """"}]"
ed725d68-dc48-5b78-bd00-0819f917c607,tg:lhbr:272530,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.0,2078,In Copyright,
ed725d68-dc48-5b78-bd00-0819f917c607,tg:lhbr:272530,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19630630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed725d68-dc48-5b78-bd00-0819f917c607,tg:lhbr:272530,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1963-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed725d68-dc48-5b78-bd00-0819f917c607,tg:lhbr:272530,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
ed725d68-dc48-5b78-bd00-0819f917c607,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000261189,referentienummer,False,,,,,,,,,,,,,,,
ed725d68-dc48-5b78-bd00-0819f917c607,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:272530,brocade id,False,,,,,,,,,,,,,,,
ed725d68-dc48-5b78-bd00-0819f917c607,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:272530/N,brocade url,False,,,,,,,,,,,,,,,
ed725d68-dc48-5b78-bd00-0819f917c607,tg:lhbr:272530,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""18fc0311-5a7a-513b-8bd2-c1a3e5f2c1d1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""571e662a-5757-4a78-ba51-15e40f573ea0"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
ed725d68-dc48-5b78-bd00-0819f917c607,tg:lhbr:272530,e73_Titles,,,au::5733,,,,lhbr,lhbr,Brief,59bd8cc1-39ed-5f15-8249-07d704ae1666,bs,,au::5733:1,au::5733g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/corporate_entities/12220310"",""au::5733"",""au::5733:1"",""ark:/83110/x0/59bd8cc1-39ed-5f15-8249-07d704ae1666"",""Diogenes"",""ark:/83110/x0/43473bfa-d0d3-5a8f-bbf9-cb70c8f81d47""],""name"":""Diogenes"",""ark"":""ark:/83110/x0/43473bfa-d0d3-5a8f-bbf9-cb70c8f81d47"",""uri"":""/agents/corporate_entities/12220310"",""id"":""au::5733:1"",""resourceArk"":""ark:/83110/x0/59bd8cc1-39ed-5f15-8249-07d704ae1666"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/59bd8cc1-39ed-5f15-8249-07d704ae1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed725d68-dc48-5b78-bd00-0819f917c607,tg:lhbr:272530,e73_Titles,,,au::8110,,,,lhbr,lhbr,Brief,186156b9-86fc-5f81-880d-a587bede6dbb,co,,au::8110:1,au::8110g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/867770"",""au::8110"",""au::8110:1"",""ark:/83110/x0/186156b9-86fc-5f81-880d-a587bede6dbb"",""Nico Gunzburg"",""ark:/83110/x0/adecdb30-9f81-5cf0-8b8f-5dbaadfbfbb4""],""name"":""Nico Gunzburg"",""ark"":""ark:/83110/x0/adecdb30-9f81-5cf0-8b8f-5dbaadfbfbb4"",""uri"":""/agents/people/867770"",""id"":""au::8110:1"",""resourceArk"":""ark:/83110/x0/186156b9-86fc-5f81-880d-a587bede6dbb"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/186156b9-86fc-5f81-880d-a587bede6dbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
