ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
fea405ce-aca9-58e2-8f23-1537bdf65ee6,tg:lhbr:54805,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:54805,record identifiers,https://data.letterenhuis.be/ark:/24970/fea405ce-aca9-58e2-8f23-1537bdf65ee6,object identifier,Brieven,,,,,,
fea405ce-aca9-58e2-8f23-1537bdf65ee6,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""08859fb5-8fbe-4e53-bb92-2111d164b56e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c3711f9e-5c6d-4cdd-a80a-060e17d6d6c0"", ""inverseOntologyProperty"": """"}]"
fea405ce-aca9-58e2-8f23-1537bdf65ee6,tg:lhbr:54805,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913.0,2028,In Copyright,
fea405ce-aca9-58e2-8f23-1537bdf65ee6,tg:lhbr:54805,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19131027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fea405ce-aca9-58e2-8f23-1537bdf65ee6,tg:lhbr:54805,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1913-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fea405ce-aca9-58e2-8f23-1537bdf65ee6,tg:lhbr:54805,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
fea405ce-aca9-58e2-8f23-1537bdf65ee6,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000052640,referentienummer,False,,,,,,,,,,,,,,,
fea405ce-aca9-58e2-8f23-1537bdf65ee6,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:54805,brocade id,False,,,,,,,,,,,,,,,
fea405ce-aca9-58e2-8f23-1537bdf65ee6,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:54805/N,brocade url,False,,,,,,,,,,,,,,,
fea405ce-aca9-58e2-8f23-1537bdf65ee6,tg:lhbr:54805,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fb2bcf6e-9744-5594-828f-6305f49fb41b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bef924be-1236-44e8-a56f-aabef23c4ebb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
fea405ce-aca9-58e2-8f23-1537bdf65ee6,tg:lhbr:54805,e73_Titles,,,au::7046:::SEV.1,,,,lhbr,lhbr,Brief,4ff2c5a8-2f5c-56b7-bc97-0bb111e4c900,bs,,au::7046:1::SEV.1,au::7046g:1::SEV.1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/753922"",""au::7046"",""au::7046:1"",""ark:/83110/x0/de4b2a6f-e298-5e82-8480-4991ac2a7e02"",""Edward Gailliard [Secretaris van Koninklijke Academie voor Nederlandse Taal en Letteren]"",""ark:/83110/x0/fac58f0d-a96f-50b7-b039-8ba798a6b293"",""au::7046:1::SEV.1"",""au::7046:1::SEV::au::10539""],""name"":""Edward Gailliard [Secretaris van Koninklijke Academie voor Nederlandse Taal en Letteren]"",""ark"":""ark:/83110/x0/fac58f0d-a96f-50b7-b039-8ba798a6b293"",""uri"":""/agents/people/753922"",""id"":""au::7046:1::SEV::au::10539"",""resourceArk"":""ark:/83110/x0/de4b2a6f-e298-5e82-8480-4991ac2a7e02"",""resourceID"":""au::7046:1"",""capacity"":""Secretaris van Koninklijke Academie voor Nederlandse Taal en Letteren"",""isCapacity"":true,""relatorRaw"":""au::7046:1::SEV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/de4b2a6f-e298-5e82-8480-4991ac2a7e02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fea405ce-aca9-58e2-8f23-1537bdf65ee6,tg:lhbr:54805,e73_Titles,,,au::16015,,,,lhbr,lhbr,Brief,56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,co,,au::16015:1,au::16015g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1713605"",""au::16015"",""au::16015:1"",""ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f"",""Max Rooses"",""ark:/83110/x0/51613450-90e9-5f04-ac63-7c225e68fbeb""],""name"":""Max Rooses"",""ark"":""ark:/83110/x0/51613450-90e9-5f04-ac63-7c225e68fbeb"",""uri"":""/agents/people/1713605"",""id"":""au::16015:1"",""resourceArk"":""ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
