ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
adfb36b5-bfd8-57c3-b65d-28b2cf680b1e,tg:lhph:25443,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:25443,record identifiers,https://data.letterenhuis.be/ark:/24970/adfb36b5-bfd8-57c3-b65d-28b2cf680b1e,object identifier,Foto's,
adfb36b5-bfd8-57c3-b65d-28b2cf680b1e,tg:lhph:25443,e73_AnnotationsImmaterial,1,note.lhalg,"<p>namen vermeld op achterkant (op bijgevoegd papier als ook op foto zelf), met uitvouwbaar beschrijving en onleesbare stempel - en een kleine stempel 'Volksgazet'</p>
","<p>namen vermeld op achterkant (op bijgevoegd papier als ook op foto zelf), met uitvouwbaar beschrijving en onleesbare stempel - en een kleine stempel 'Volksgazet'</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adfb36b5-bfd8-57c3-b65d-28b2cf680b1e,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""97989235-4bf7-4596-9de7-1dd5a4ebdc1c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ed47e2fd-2ebe-4fb5-9765-f38a5c43b184"", ""inverseOntologyProperty"": """"}]"
adfb36b5-bfd8-57c3-b65d-28b2cf680b1e,tg:lhph:25443,e73_Copyrights,,,,,,,1923.0,2038,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adfb36b5-bfd8-57c3-b65d-28b2cf680b1e,tg:lhph:25443_#1,e73_CreationPlacesSource_lhph,1,,,,,,,,,,,,,,,,,,,,,lhph,Antwerpen,,,Antwerpen (Antwerpen),au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,Antwerpen (Arrondissement Antwerpen),au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,au::100141,au::100141,remarks,Nederlands,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adfb36b5-bfd8-57c3-b65d-28b2cf680b1e,tg:lhph:25443,e73_CreationTimeSpanSourceNotes,0,id/date.exposure/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adfb36b5-bfd8-57c3-b65d-28b2cf680b1e,tg:lhph:25443,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adfb36b5-bfd8-57c3-b65d-28b2cf680b1e,tg:lhph:25443,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>K.V.O. / opvoeringen: Ballet - opvoering onbekend, Vooraan Valentina Belova, rechts Louise Devaux.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
adfb36b5-bfd8-57c3-b65d-28b2cf680b1e,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000024397,referentienummer,,False,,,,,,,,,,,,,
adfb36b5-bfd8-57c3-b65d-28b2cf680b1e,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:25443,brocade id,,False,,,,,,,,,,,,,
