ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
bf60f060-af8e-5d8c-ba27-ad9fa8fa39ee,tg:lhph:18628,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:18628,record identifiers,https://data.letterenhuis.be/ark:/24970/bf60f060-af8e-5d8c-ba27-ad9fa8fa39ee,object identifier,Foto's,
bf60f060-af8e-5d8c-ba27-ad9fa8fa39ee,tg:lhph:18628,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Negatievenarchief uitgeverij Manteau</p>
","<p>Negatievenarchief uitgeverij Manteau</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf60f060-af8e-5d8c-ba27-ad9fa8fa39ee,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2d65c3c0-41c2-4d10-afd8-e355b6930b05"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c954698f-b846-48b0-8d90-8bad8e693057"", ""inverseOntologyProperty"": """"}]"
bf60f060-af8e-5d8c-ba27-ad9fa8fa39ee,tg:lhph:18628,e73_CreationTimeSpans,,default_copyright,,,,,,,Copyright Undetermined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf60f060-af8e-5d8c-ba27-ad9fa8fa39ee,tg:lhph:18628,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Paul de Wispelaere</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
bf60f060-af8e-5d8c-ba27-ad9fa8fa39ee,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000017810,referentienummer,,False,,,,,,,,,,,,,
bf60f060-af8e-5d8c-ba27-ad9fa8fa39ee,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:18628,brocade id,,False,,,,,,,,,,,,,
bf60f060-af8e-5d8c-ba27-ad9fa8fa39ee,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:18628/N,brocade url,,False,,,,,,,,,,,,,
bf60f060-af8e-5d8c-ba27-ad9fa8fa39ee,tg:lhph:18628,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5b783afd-bf57-5831-a4c2-f32c0f0fc767"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8977ef6f-297b-4bab-9576-2bb084c26b05"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
bf60f060-af8e-5d8c-ba27-ad9fa8fa39ee,tg:lhph:18628,e73_Titles,,,au::21571,,,,,,,lhph,lhph,Foto,7786e0f1-a040-59ee-a492-db05f5f254d9,kw,,au::21571:1,au::21571g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/2308097"",""au::21571"",""au::21571:1"",""ark:/83110/x0/7786e0f1-a040-59ee-a492-db05f5f254d9"",""Paul de Wispelaere"",""ark:/83110/x0/00337bfb-d792-50f7-88a0-38f600869d75""],""name"":""Paul de Wispelaere"",""ark"":""ark:/83110/x0/00337bfb-d792-50f7-88a0-38f600869d75"",""uri"":""/agents/people/2308097"",""id"":""au::21571:1"",""resourceArk"":""ark:/83110/x0/7786e0f1-a040-59ee-a492-db05f5f254d9"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7786e0f1-a040-59ee-a492-db05f5f254d9,,,,,,,,,,,,,,,,,,,,,
