ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
cd2980e6-72df-51c5-b8d1-bb4d925ef186,tg:lhph:32093,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:32093,record identifiers,https://data.letterenhuis.be/ark:/24970/cd2980e6-72df-51c5-b8d1-bb4d925ef186,object identifier,Foto's,
cd2980e6-72df-51c5-b8d1-bb4d925ef186,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""96e1ff8a-1607-4072-b381-ca0b4ff2a853"", ""ontologyProperty"": """", ""resourceXresourceId"": ""68d1b4c8-a33a-4978-894e-8583ccb8d789"", ""inverseOntologyProperty"": """"}]"
cd2980e6-72df-51c5-b8d1-bb4d925ef186,tg:lhph:32093,e73_Copyrights,,,,,,,2005.0,2120,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd2980e6-72df-51c5-b8d1-bb4d925ef186,tg:lhph:32093_#1,e73_CreationPlacesSource_lhph,1,,,,,,,,,,,,,,,,,,,,,lhph,Brussel,,,,,,Brussel (Brussel-Hoofdstad),au::100105,99596b2b-2b42-50f2-8ec3-d578638b6d71,au::100105,99596b2b-2b42-50f2-8ec3-d578638b6d71,,au::100105,remarks,Nederlands,"dlod={""name"":""Brussel (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/99596b2b-2b42-50f2-8ec3-d578638b6d71"",""uri"":""/subjects/10711235"",""id"":""au::100105"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd2980e6-72df-51c5-b8d1-bb4d925ef186,tg:lhph:32093,e73_CreationTimeSpanSourceNotes,0,id/date.exposure/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd2980e6-72df-51c5-b8d1-bb4d925ef186,tg:lhph:32093,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2uu5-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd2980e6-72df-51c5-b8d1-bb4d925ef186,tg:lhph:32093,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Walter Swennen met echtgenote tijdens een tentoonstelling in het RhOK.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
cd2980e6-72df-51c5-b8d1-bb4d925ef186,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000030994,referentienummer,,False,,,,,,,,,,,,,
cd2980e6-72df-51c5-b8d1-bb4d925ef186,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:32093,brocade id,,False,,,,,,,,,,,,,
cd2980e6-72df-51c5-b8d1-bb4d925ef186,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:32093/N,brocade url,,False,,,,,,,,,,,,,
