ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
cd077372-e3a3-5eae-bbd8-a656a6a7fc3c,tg:lhph:53334,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:53334,record identifiers,https://data.letterenhuis.be/ark:/24970/cd077372-e3a3-5eae-bbd8-a656a6a7fc3c,object identifier,Foto's,
cd077372-e3a3-5eae-bbd8-a656a6a7fc3c,tg:lhph:53334,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Maakt deel uit van een reeks foto's. Bijgevoegd: tekening grondplan eerste salon gelijkvloers. De nummers komen overeen met de nummers op de achterzijde van (een deel van) de foto's.</p>
","<p>Maakt deel uit van een reeks foto's. Bijgevoegd: tekening grondplan eerste salon gelijkvloers. De nummers komen overeen met de nummers op de achterzijde van (een deel van) de foto's.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd077372-e3a3-5eae-bbd8-a656a6a7fc3c,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""9d57470c-0b45-425e-9f1d-6af4ce92717b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5c29eb26-3d43-4d7c-a52d-0e31a489d9f9"", ""inverseOntologyProperty"": """"}]"
cd077372-e3a3-5eae-bbd8-a656a6a7fc3c,tg:lhph:53334,e73_Copyrights,,,,,,,1965.0,2080,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd077372-e3a3-5eae-bbd8-a656a6a7fc3c,tg:lhph:53334_#1,e73_CreationPlacesSource_lhph,1,,,,,,,,,,,,,,,,,,,,,lhph,Antwerpen,,,Antwerpen (Antwerpen),au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,Antwerpen (Arrondissement Antwerpen),au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,au::100141,au::100141,remarks,Nederlands,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd077372-e3a3-5eae-bbd8-a656a6a7fc3c,tg:lhph:53334,e73_CreationTimeSpanSourceNotes,0,id/date.exposure/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19650300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd077372-e3a3-5eae-bbd8-a656a6a7fc3c,tg:lhph:53334,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965-03,circa,,Info in D1Z-dossier,creation date note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd077372-e3a3-5eae-bbd8-a656a6a7fc3c,tg:lhph:53334,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Detail van het interieur van het woonhuis van Max Rooses in de Provinciestraat 83: zonder nr. plafondcassette muze Kalliope.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
cd077372-e3a3-5eae-bbd8-a656a6a7fc3c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000051444,referentienummer,,False,,,,,,,,,,,,,
cd077372-e3a3-5eae-bbd8-a656a6a7fc3c,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:53334,brocade id,,False,,,,,,,,,,,,,
