ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
816103da-cf83-5744-a582-b8b90b811857,tg:lhbr:168638,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:168638,record identifiers,https://data.letterenhuis.be/ark:/24970/816103da-cf83-5744-a582-b8b90b811857,object identifier,Brieven,,,,,,
816103da-cf83-5744-a582-b8b90b811857,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b9243700-4c9d-4e76-a456-a375c455dd55"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4af8c328-77e6-40f6-87e2-67321eb2963d"", ""inverseOntologyProperty"": """"}]"
816103da-cf83-5744-a582-b8b90b811857,tg:lhbr:168638,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935.0,2050,In Copyright,
816103da-cf83-5744-a582-b8b90b811857,tg:lhbr:168638,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19350114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816103da-cf83-5744-a582-b8b90b811857,tg:lhbr:168638,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1935-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816103da-cf83-5744-a582-b8b90b811857,tg:lhbr:168638,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
816103da-cf83-5744-a582-b8b90b811857,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000158868,referentienummer,False,,,,,,,,,,,,,,,
816103da-cf83-5744-a582-b8b90b811857,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:168638,brocade id,False,,,,,,,,,,,,,,,
816103da-cf83-5744-a582-b8b90b811857,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:168638/N,brocade url,False,,,,,,,,,,,,,,,
816103da-cf83-5744-a582-b8b90b811857,tg:lhbr:168638,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b682551f-1091-58fb-9371-89794d0f7d05"", ""ontologyProperty"": """", ""resourceXresourceId"": ""684398b4-309d-4d29-8079-008b147fa0d1"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
