ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
5a297af2-7e7d-5201-8a19-bd8c9ef216fe,tg:lhps:12392,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:12392,https://data.letterenhuis.be/ark:/24970/5a297af2-7e7d-5201-8a19-bd8c9ef216fe,Affiches,,,,,
5a297af2-7e7d-5201-8a19-bd8c9ef216fe,tg:lhps:12392,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Ontwerp: Marleen Jageneau '81</p>
","<p>Ontwerp: Marleen Jageneau '81</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a297af2-7e7d-5201-8a19-bd8c9ef216fe,tg:lhps:12392,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981.0,2096,In Copyright
5a297af2-7e7d-5201-8a19-bd8c9ef216fe,tg:lhps:12392,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19811005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a297af2-7e7d-5201-8a19-bd8c9ef216fe,tg:lhps:12392,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19811030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a297af2-7e7d-5201-8a19-bd8c9ef216fe,tg:lhps:12392,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project Bouwblok Academie / 5de Jaar Architectuur stelt ten toon / Academie,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a297af2-7e7d-5201-8a19-bd8c9ef216fe,tg:lhps:12392,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1981-10-05,1981-10-30,reconstructie,reconstructie,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a297af2-7e7d-5201-8a19-bd8c9ef216fe,tg:lhps:12392_#2,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141:1,tg:lhps:12392_#2,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
5a297af2-7e7d-5201-8a19-bd8c9ef216fe,tg:lhps:12392_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141:1,tg:lhps:12392_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
5a297af2-7e7d-5201-8a19-bd8c9ef216fe,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000011967,referentienummer,False,,,,,,,,,,,,,,,
