ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
3ca57d7b-a87b-5a50-9fc0-f6d1efb253d8,tg:lhps:1259,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:1259,record identifiers,https://data.letterenhuis.be/ark:/24970/3ca57d7b-a87b-5a50-9fc0-f6d1efb253d8,object identifier,Affiches,,,,,,
3ca57d7b-a87b-5a50-9fc0-f6d1efb253d8,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""3ef12dd2-cede-4fdd-9dae-f8acd53b7574"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ce806337-c19e-4620-9301-5f279907867c"", ""inverseOntologyProperty"": """"}]"
3ca57d7b-a87b-5a50-9fc0-f6d1efb253d8,tg:lhps:1259,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949.0,2064,In Copyright,
3ca57d7b-a87b-5a50-9fc0-f6d1efb253d8,tg:lhps:1259,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19490619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ca57d7b-a87b-5a50-9fc0-f6d1efb253d8,tg:lhps:1259,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Concerten van Oude Muziek<br />
1949, Juni<br />
Kamerkoor van het N.I.R.<br />
O.l.v. Jan van Bouwel.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ca57d7b-a87b-5a50-9fc0-f6d1efb253d8,tg:lhps:1259,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1949-06-19,,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ca57d7b-a87b-5a50-9fc0-f6d1efb253d8,tg:lhps:1259_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,,Antwerpen (Antwerpen),au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,Antwerpen (Arrondissement Antwerpen),au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,au::100141,au::100141,remarks,Nederlands,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
3ca57d7b-a87b-5a50-9fc0-f6d1efb253d8,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000001252,referentienummer,False,,,,,,,,,,,,,,,,,
3ca57d7b-a87b-5a50-9fc0-f6d1efb253d8,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:1259,brocade id,False,,,,,,,,,,,,,,,,,
3ca57d7b-a87b-5a50-9fc0-f6d1efb253d8,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:1259/N,brocade url,False,,,,,,,,,,,,,,,,,
3ca57d7b-a87b-5a50-9fc0-f6d1efb253d8,tg:lhps:1259,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""703e98d4-f5ef-5149-9db8-451280a8faec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4758e26f-764d-48d5-86e8-1e97baa9f18c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
