ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
50ffec11-2b7e-5cf2-8487-66a7bf4ee690,tg:lhps:29518,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:29518,https://data.letterenhuis.be/ark:/24970/50ffec11-2b7e-5cf2-8487-66a7bf4ee690,Affiches,,,,,
50ffec11-2b7e-5cf2-8487-66a7bf4ee690,tg:lhps:29518,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971.0,2086,In Copyright
50ffec11-2b7e-5cf2-8487-66a7bf4ee690,tg:lhps:29518,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19710921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50ffec11-2b7e-5cf2-8487-66a7bf4ee690,tg:lhps:29518,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koninklijke Poppenschouwburg Van Campen / Antwerps folklore klein toneel der Van Campen / C. Van Campen / De Zwarte Ruiter,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50ffec11-2b7e-5cf2-8487-66a7bf4ee690,tg:lhps:29518,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1971-09-21,,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50ffec11-2b7e-5cf2-8487-66a7bf4ee690,tg:lhps:29518_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,au::100141:1,tg:lhps:29518_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
50ffec11-2b7e-5cf2-8487-66a7bf4ee690,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000028829,referentienummer,False,,,,,,,,,,,,,,,
50ffec11-2b7e-5cf2-8487-66a7bf4ee690,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:29518,brocade id,False,,,,,,,,,,,,,,,
50ffec11-2b7e-5cf2-8487-66a7bf4ee690,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:29518/N,brocade url,False,,,,,,,,,,,,,,,
50ffec11-2b7e-5cf2-8487-66a7bf4ee690,tg:lhps:29518,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5a484c86-7756-56e7-a152-241ddc310ed7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a88a23be-5912-4bab-b3de-670206fa8e5e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
50ffec11-2b7e-5cf2-8487-66a7bf4ee690,tg:lhps:29518,e73_OriginalBrocade,,,au::10525,,,,lhps,,,5fc56563-8117-5028-b658-1024c11b3f63,kw,,au::10525:1,au::10525g:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/corporate_entities/1126175"",""au::10525"",""au::10525:1"",""ark:/83110/x0/5fc56563-8117-5028-b658-1024c11b3f63"",""Koninklijke Poppenschouwburg Van Campen""],""name"":""Koninklijke Poppenschouwburg Van Campen"",""ark"":""ark:/83110/x0/5fc56563-8117-5028-b658-1024c11b3f63"",""uri"":""/agents/corporate_entities/1126175"",""id"":""au::10525:1"",""isCapacity"":false}",ark:/83110/x0/5fc56563-8117-5028-b658-1024c11b3f63,agent,,,,,,,,,
50ffec11-2b7e-5cf2-8487-66a7bf4ee690,tg:lhps:29518,e73_OriginalBrocade,,,au::3468,,,,lhps,,,32294a7c-76a7-5f96-8e43-f5c43093abe6,kw,,au::3468:1,au::3468g:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/371076"",""au::3468"",""au::3468:1"",""ark:/83110/x0/32294a7c-76a7-5f96-8e43-f5c43093abe6"",""Constant van Campen""],""name"":""Constant van Campen"",""ark"":""ark:/83110/x0/32294a7c-76a7-5f96-8e43-f5c43093abe6"",""uri"":""/agents/people/371076"",""id"":""au::3468:1"",""isCapacity"":false}",ark:/83110/x0/32294a7c-76a7-5f96-8e43-f5c43093abe6,agent,,,,,,,,,
