ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
5e83319d-11a5-5934-8aae-fd5fa12d129d,tg:lhps:9672,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:9672,https://data.letterenhuis.be/ark:/24970/5e83319d-11a5-5934-8aae-fd5fa12d129d,Affiches,,,,,
5e83319d-11a5-5934-8aae-fd5fa12d129d,tg:lhps:9672,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.0,2078,In Copyright
5e83319d-11a5-5934-8aae-fd5fa12d129d,tg:lhps:9672,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19630131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e83319d-11a5-5934-8aae-fd5fa12d129d,tg:lhps:9672,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19630207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e83319d-11a5-5934-8aae-fd5fa12d129d,tg:lhps:9672,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,KVO / Don Carlos / Giuseppe Verdi / Dirigent: Luigi Martelli / Regie: Paul van den Borne / Siegfried / Richard Wagner / Dirigent: Frits Celis / Regie: Anton van de Velde,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e83319d-11a5-5934-8aae-fd5fa12d129d,tg:lhps:9672,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1963-01-31,1963-02-07,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e83319d-11a5-5934-8aae-fd5fa12d129d,tg:lhps:9672_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,au::100141:1,tg:lhps:9672_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
5e83319d-11a5-5934-8aae-fd5fa12d129d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000009489,referentienummer,False,,,,,,,,,,,,,,,
5e83319d-11a5-5934-8aae-fd5fa12d129d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:9672,brocade id,False,,,,,,,,,,,,,,,
5e83319d-11a5-5934-8aae-fd5fa12d129d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:9672/N,brocade url,False,,,,,,,,,,,,,,,
