ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
dc107dfd-c09c-5a72-94da-c31dd795bdd1,tg:lhps:5851,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:5851,https://data.letterenhuis.be/ark:/24970/dc107dfd-c09c-5a72-94da-c31dd795bdd1,Affiches,,,,,
dc107dfd-c09c-5a72-94da-c31dd795bdd1,tg:lhps:5851,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968.0,2083,In Copyright
dc107dfd-c09c-5a72-94da-c31dd795bdd1,tg:lhps:5851,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19680808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc107dfd-c09c-5a72-94da-c31dd795bdd1,tg:lhps:5851,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NKT  
Heropening  
Neil Simon  
Een Raar Koppel",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc107dfd-c09c-5a72-94da-c31dd795bdd1,tg:lhps:5851,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1968-08-08,,reconstructie,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc107dfd-c09c-5a72-94da-c31dd795bdd1,tg:lhps:5851_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,au::100141:1,tg:lhps:5851_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
dc107dfd-c09c-5a72-94da-c31dd795bdd1,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000005730,referentienummer,False,,,,,,,,,,,,,,,
dc107dfd-c09c-5a72-94da-c31dd795bdd1,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:5851,brocade id,False,,,,,,,,,,,,,,,
dc107dfd-c09c-5a72-94da-c31dd795bdd1,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:5851/N,brocade url,False,,,,,,,,,,,,,,,
dc107dfd-c09c-5a72-94da-c31dd795bdd1,tg:lhps:5851,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ebfadc95-5f66-5c9c-b150-aa4f84f72cf0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1b45074e-65ad-4538-b496-2fc6e43e0ff8"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
