ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
92196bf7-1b53-5307-a608-efa1a52dd808,tg:lhps:9534,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:9534,https://data.letterenhuis.be/ark:/24970/92196bf7-1b53-5307-a608-efa1a52dd808,Affiches,,,,,
92196bf7-1b53-5307-a608-efa1a52dd808,tg:lhps:9534,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952.0,2067,In Copyright
92196bf7-1b53-5307-a608-efa1a52dd808,tg:lhps:9534,e73_CreationActors,,,au::11866,,,,lhps,lhps,Affiche,3455c7f7-5565-575d-bae4-7df7e35f62cb,ds,designers,au::11866:1,au::11866g:1,,"dlod={""suggest"":[""/agents/people/1269662"",""au::11866"",""au::11866:1"",""ark:/83110/x0/3455c7f7-5565-575d-bae4-7df7e35f62cb"",""Simone Lutgen""],""name"":""Simone Lutgen"",""ark"":""ark:/83110/x0/3455c7f7-5565-575d-bae4-7df7e35f62cb"",""uri"":""/agents/people/1269662"",""id"":""au::11866:1"",""isCapacity"":false}",ark:/83110/x0/3455c7f7-5565-575d-bae4-7df7e35f62cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92196bf7-1b53-5307-a608-efa1a52dd808,tg:lhps:9534,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19520503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92196bf7-1b53-5307-a608-efa1a52dd808,tg:lhps:9534,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19520508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92196bf7-1b53-5307-a608-efa1a52dd808,tg:lhps:9534,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KNS / Gaston Martens / Paradijsvogels / Regie: Gaston Vandermeulen / Met: Robert Marcel, Luc Philips",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92196bf7-1b53-5307-a608-efa1a52dd808,tg:lhps:9534,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1952-05-03,1952-05-08,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92196bf7-1b53-5307-a608-efa1a52dd808,tg:lhps:9534_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,au::100141:1,tg:lhps:9534_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
92196bf7-1b53-5307-a608-efa1a52dd808,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000009356,referentienummer,False,,,,,,,,,,,,,,,
92196bf7-1b53-5307-a608-efa1a52dd808,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:9534,brocade id,False,,,,,,,,,,,,,,,
