ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
8275cdae-5efb-5a30-96fb-afc28b59caaf,tg:lhps:3731,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:3731,https://data.letterenhuis.be/ark:/24970/8275cdae-5efb-5a30-96fb-afc28b59caaf,Affiches,,,,,
8275cdae-5efb-5a30-96fb-afc28b59caaf,tg:lhps:3731,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969.0,2084,In Copyright
8275cdae-5efb-5a30-96fb-afc28b59caaf,tg:lhps:3731,e73_CreationActors,,,au::11866,,,,lhps,lhps,Affiche,3455c7f7-5565-575d-bae4-7df7e35f62cb,ds,designers,au::11866:1,au::11866g:1,,"dlod={""suggest"":[""/agents/people/1269662"",""au::11866"",""au::11866:1"",""ark:/83110/x0/3455c7f7-5565-575d-bae4-7df7e35f62cb"",""Simone Lutgen""],""name"":""Simone Lutgen"",""ark"":""ark:/83110/x0/3455c7f7-5565-575d-bae4-7df7e35f62cb"",""uri"":""/agents/people/1269662"",""id"":""au::11866:1"",""isCapacity"":false}",ark:/83110/x0/3455c7f7-5565-575d-bae4-7df7e35f62cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8275cdae-5efb-5a30-96fb-afc28b59caaf,tg:lhps:3731,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19690201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8275cdae-5efb-5a30-96fb-afc28b59caaf,tg:lhps:3731,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19690212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8275cdae-5efb-5a30-96fb-afc28b59caaf,tg:lhps:3731,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jeugdtheater - Schouwburg ""Majestic"" / Jan zonder Vrees / naar het boek van Constant de Kinder door Tony Beeghs / Regie: Joost Noydens / Muziek: P. Welffens / Decor: G. Masson / Choreografie: Lia Belmont",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8275cdae-5efb-5a30-96fb-afc28b59caaf,tg:lhps:3731,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1969-02-01,1969-02-12,reconstructie,reconstructie,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8275cdae-5efb-5a30-96fb-afc28b59caaf,tg:lhps:3731_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,au::100141:1,tg:lhps:3731_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
8275cdae-5efb-5a30-96fb-afc28b59caaf,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000003698,referentienummer,False,,,,,,,,,,,,,,,
8275cdae-5efb-5a30-96fb-afc28b59caaf,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:3731,brocade id,False,,,,,,,,,,,,,,,
