ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
7e995c65-a125-54ef-aafe-f6eca60636df,tg:lhps:30783,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:30783,https://data.letterenhuis.be/ark:/24970/7e995c65-a125-54ef-aafe-f6eca60636df,Affiches,,,,,
7e995c65-a125-54ef-aafe-f6eca60636df,tg:lhps:30783,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984.0,2099,In Copyright
7e995c65-a125-54ef-aafe-f6eca60636df,tg:lhps:30783,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19841013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e995c65-a125-54ef-aafe-f6eca60636df,tg:lhps:30783,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buitengewoon concert / deSingel / Westvlaams Orkest / olv Erik Baeck / m.m.v. Wolfgang Manz, piano",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e995c65-a125-54ef-aafe-f6eca60636df,tg:lhps:30783,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1984-10-13,,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e995c65-a125-54ef-aafe-f6eca60636df,tg:lhps:30783_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,au::100141:1,tg:lhps:30783_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
7e995c65-a125-54ef-aafe-f6eca60636df,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000030088,referentienummer,False,,,,,,,,,,,,,,,
7e995c65-a125-54ef-aafe-f6eca60636df,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:30783,brocade id,False,,,,,,,,,,,,,,,
7e995c65-a125-54ef-aafe-f6eca60636df,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:30783/N,brocade url,False,,,,,,,,,,,,,,,
7e995c65-a125-54ef-aafe-f6eca60636df,tg:lhps:30783,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""92e9570c-7c3b-5e31-9027-51ce7a5878b4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4c8143af-72f1-414d-9677-5ed65c9a65fb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
