ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
88b19a04-5c95-580e-9172-af24f01ee4cf,tg:lhps:51003,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:51003,record identifiers,https://data.letterenhuis.be/ark:/24970/88b19a04-5c95-580e-9172-af24f01ee4cf,object identifier,Affiches,,,,,,
88b19a04-5c95-580e-9172-af24f01ee4cf,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8fdb8b63-5272-4859-8de7-5bc6acbb8402"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ae0273e2-b172-41de-80b2-507a4a306f7f"", ""inverseOntologyProperty"": """"}]"
88b19a04-5c95-580e-9172-af24f01ee4cf,tg:lhps:51003,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0,2108,In Copyright,
88b19a04-5c95-580e-9172-af24f01ee4cf,tg:lhps:51003,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19930421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88b19a04-5c95-580e-9172-af24f01ee4cf,tg:lhps:51003,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19930509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88b19a04-5c95-580e-9172-af24f01ee4cf,tg:lhps:51003,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Stadspoppentheater / Dreumes' Dromenland / door het Mechels Stadspoppentheater</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88b19a04-5c95-580e-9172-af24f01ee4cf,tg:lhps:51003,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1993-04-21,1993-05-09,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88b19a04-5c95-580e-9172-af24f01ee4cf,tg:lhps:51003_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,,au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,,,,,,,au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,,au::100141,remarks,Nederlands,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
88b19a04-5c95-580e-9172-af24f01ee4cf,tg:lhps:51003,e73_LegacyImages,,,,,,,,lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_01_affiches/5_/51_/tg_lhps_51003.tif,image high resolution,,,,,,,,,,,,,d:lh:250094,e73_LegacyImages,,,,
88b19a04-5c95-580e-9172-af24f01ee4cf,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000046859,referentienummer,False,,,,,,,,,,,,,,,,,
