ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
9538f139-e2ec-5ec9-bec0-cbc3941b3357,tg:lhps:49566,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:49566,https://data.letterenhuis.be/ark:/24970/9538f139-e2ec-5ec9-bec0-cbc3941b3357,Affiches,,,,,
9538f139-e2ec-5ec9-bec0-cbc3941b3357,tg:lhps:49566,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0,2112,In Copyright
9538f139-e2ec-5ec9-bec0-cbc3941b3357,tg:lhps:49566,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19970926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9538f139-e2ec-5ec9-bec0-cbc3941b3357,tg:lhps:49566,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19980400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9538f139-e2ec-5ec9-bec0-cbc3941b3357,tg:lhps:49566,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koninklijke Poppenschouwburg / Van Campen / met authentieke decors / Christoffel Plantijn / Produktie: Karel van Campen,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9538f139-e2ec-5ec9-bec0-cbc3941b3357,tg:lhps:49566,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1997-09-26,1998-04,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9538f139-e2ec-5ec9-bec0-cbc3941b3357,tg:lhps:49566_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141:1,tg:lhps:49566_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
9538f139-e2ec-5ec9-bec0-cbc3941b3357,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000045435,referentienummer,False,,,,,,,,,,,,,,,
9538f139-e2ec-5ec9-bec0-cbc3941b3357,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:49566,brocade id,False,,,,,,,,,,,,,,,
9538f139-e2ec-5ec9-bec0-cbc3941b3357,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:49566/N,brocade url,False,,,,,,,,,,,,,,,
9538f139-e2ec-5ec9-bec0-cbc3941b3357,tg:lhps:49566,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""39caa6b5-00e0-5e29-a54a-a2fc5c29e285"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0325ae9a-7359-4a65-8fe2-02817e4ff18e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
9538f139-e2ec-5ec9-bec0-cbc3941b3357,tg:lhps:49566,e73_OriginalBrocade,,,au::10525,,,,lhps,,,5fc56563-8117-5028-b658-1024c11b3f63,kw,,au::10525:1,au::10525g:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/corporate_entities/1126175"",""au::10525"",""au::10525:1"",""ark:/83110/x0/5fc56563-8117-5028-b658-1024c11b3f63"",""Koninklijke Poppenschouwburg Van Campen""],""name"":""Koninklijke Poppenschouwburg Van Campen"",""ark"":""ark:/83110/x0/5fc56563-8117-5028-b658-1024c11b3f63"",""uri"":""/agents/corporate_entities/1126175"",""id"":""au::10525:1"",""isCapacity"":false}",ark:/83110/x0/5fc56563-8117-5028-b658-1024c11b3f63,agent,,,,,,,,,
