ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
53c0395f-6a28-54d0-8795-49f97ff08547,tg:lhps:56118,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:56118,https://data.letterenhuis.be/ark:/24970/53c0395f-6a28-54d0-8795-49f97ff08547,Affiches,,,,,
53c0395f-6a28-54d0-8795-49f97ff08547,tg:lhps:56118,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0,2117,In Copyright
53c0395f-6a28-54d0-8795-49f97ff08547,tg:lhps:56118,e73_CreationActors,,,au::45297,,,,lhps,lhps,Affiche,93d58a29-b6f3-5741-ac05-82ec2bbf8684,ds,designers,au::45297:1,au::45297g:1,,"dlod={""suggest"":[""/agents/people/4846779"",""au::45297"",""au::45297:1"",""ark:/83110/x0/93d58a29-b6f3-5741-ac05-82ec2bbf8684"",""Rob Marcelis""],""name"":""Rob Marcelis"",""ark"":""ark:/83110/x0/93d58a29-b6f3-5741-ac05-82ec2bbf8684"",""uri"":""/agents/people/4846779"",""id"":""au::45297:1"",""isCapacity"":false}",ark:/83110/x0/93d58a29-b6f3-5741-ac05-82ec2bbf8684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53c0395f-6a28-54d0-8795-49f97ff08547,tg:lhps:56118,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,20020310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53c0395f-6a28-54d0-8795-49f97ff08547,tg:lhps:56118,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,20020623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53c0395f-6a28-54d0-8795-49f97ff08547,tg:lhps:56118,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vertel de Stad! / Maart Juni 2002,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53c0395f-6a28-54d0-8795-49f97ff08547,tg:lhps:56118,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,2uu2-03-10,2uu2-06-23,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53c0395f-6a28-54d0-8795-49f97ff08547,tg:lhps:56118_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141:1,tg:lhps:56118_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
53c0395f-6a28-54d0-8795-49f97ff08547,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000051915,referentienummer,False,,,,,,,,,,,,,,,
53c0395f-6a28-54d0-8795-49f97ff08547,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:56118,brocade id,False,,,,,,,,,,,,,,,
