ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
d360378e-d987-501d-bf7e-9d6f018c1e7f,tg:lhps:28087,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:28087,https://data.letterenhuis.be/ark:/24970/d360378e-d987-501d-bf7e-9d6f018c1e7f,Affiches,,,,,
d360378e-d987-501d-bf7e-9d6f018c1e7f,tg:lhps:28087,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.0,2087,In Copyright
d360378e-d987-501d-bf7e-9d6f018c1e7f,tg:lhps:28087,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19720502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d360378e-d987-501d-bf7e-9d6f018c1e7f,tg:lhps:28087,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19720516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d360378e-d987-501d-bf7e-9d6f018c1e7f,tg:lhps:28087,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koor en orgelconcerten 1972,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d360378e-d987-501d-bf7e-9d6f018c1e7f,tg:lhps:28087,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1972-05-02,1972-05-16,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d360378e-d987-501d-bf7e-9d6f018c1e7f,tg:lhps:28087_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,au::100141:1,tg:lhps:28087_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
d360378e-d987-501d-bf7e-9d6f018c1e7f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000027400,referentienummer,False,,,,,,,,,,,,,,,
d360378e-d987-501d-bf7e-9d6f018c1e7f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:28087,brocade id,False,,,,,,,,,,,,,,,
d360378e-d987-501d-bf7e-9d6f018c1e7f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:28087/N,brocade url,False,,,,,,,,,,,,,,,
d360378e-d987-501d-bf7e-9d6f018c1e7f,tg:lhps:28087,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""60e5ef92-883b-564c-a603-24a917f2cb58"", ""ontologyProperty"": """", ""resourceXresourceId"": ""103e324a-8a75-4d61-ac07-012736c714a1"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
d360378e-d987-501d-bf7e-9d6f018c1e7f,tg:lhps:28087,e73_OriginalBrocade,,,au::14153,,,,lhps,,,e9832184-1798-5533-8abd-ba7ecd2b50d3,kw,,au::14153:1,au::14153g:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/corporate_entities/1514371"",""au::14153"",""au::14153:1"",""ark:/83110/x0/e9832184-1798-5533-8abd-ba7ecd2b50d3"",""Orgelconcerten""],""name"":""Orgelconcerten"",""ark"":""ark:/83110/x0/e9832184-1798-5533-8abd-ba7ecd2b50d3"",""uri"":""/agents/corporate_entities/1514371"",""id"":""au::14153:1"",""isCapacity"":false}",ark:/83110/x0/e9832184-1798-5533-8abd-ba7ecd2b50d3,agent,,,,,,,,,
