ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
ecad1ad2-dee0-5ac1-875f-24b6b3ee32ff,tg:lhps:22163,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:22163,https://data.letterenhuis.be/ark:/24970/ecad1ad2-dee0-5ac1-875f-24b6b3ee32ff,Affiches,,,,,
ecad1ad2-dee0-5ac1-875f-24b6b3ee32ff,tg:lhps:22163,e73_AnnotationsImmaterial,1,note.lhalg,"<p>druk: Stadsdrukkerij Amsterdam</p>
","<p>druk: Stadsdrukkerij Amsterdam</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecad1ad2-dee0-5ac1-875f-24b6b3ee32ff,tg:lhps:22163,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0,2081,In Copyright
ecad1ad2-dee0-5ac1-875f-24b6b3ee32ff,tg:lhps:22163,e73_CreationActors,,,au::45607,,,,lhps,lhps,Affiche,322d6244-6035-5316-a125-3e560bc21def,ds,designers,au::45607:1,au::45607g:1,,"dlod={""suggest"":[""/agents/people/4879949"",""au::45607"",""au::45607:1"",""ark:/83110/x0/322d6244-6035-5316-a125-3e560bc21def"",""Wim Crouwel""],""name"":""Wim Crouwel"",""ark"":""ark:/83110/x0/322d6244-6035-5316-a125-3e560bc21def"",""uri"":""/agents/people/4879949"",""id"":""au::45607:1"",""isCapacity"":false}",ark:/83110/x0/322d6244-6035-5316-a125-3e560bc21def,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecad1ad2-dee0-5ac1-875f-24b6b3ee32ff,tg:lhps:22163,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19660107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecad1ad2-dee0-5ac1-875f-24b6b3ee32ff,tg:lhps:22163,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19660228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecad1ad2-dee0-5ac1-875f-24b6b3ee32ff,tg:lhps:22163,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,SM 1 / Januari / 66 / Stedelijk Museum Amsterdam,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecad1ad2-dee0-5ac1-875f-24b6b3ee32ff,tg:lhps:22163,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1966-01-07,1966-02-28,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecad1ad2-dee0-5ac1-875f-24b6b3ee32ff,tg:lhps:22163_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Amsterdam,,au::104810:1,tg:lhps:22163_#1,"dlod={""name"":""Amsterdam (Noord-Holland)"",""ark"":""ark:/83110/x0/636962b7-6ad0-5b44-83b4-9eb0958ecb76"",""uri"":""/subjects/11214670"",""id"":""au::104810"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
ecad1ad2-dee0-5ac1-875f-24b6b3ee32ff,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000021511,referentienummer,False,,,,,,,,,,,,,,,
