ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
18a2fd2b-77f7-57c7-9c67-dc85fd831fca,tg:lhps:4482,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:4482,https://data.letterenhuis.be/ark:/24970/18a2fd2b-77f7-57c7-9c67-dc85fd831fca,Affiches,,,,,
18a2fd2b-77f7-57c7-9c67-dc85fd831fca,tg:lhps:4482,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950.0,2065,In Copyright
18a2fd2b-77f7-57c7-9c67-dc85fd831fca,tg:lhps:4482,e73_CreationActors,,,au::45628,,,,lhps,lhps,Affiche,77b8a025-e01e-50ab-9e7b-a484764b3865,ds,designers,au::45628:1,au::45628g:1,,"dlod={""suggest"":[""/agents/people/4882196"",""au::45628"",""au::45628:1"",""ark:/83110/x0/77b8a025-e01e-50ab-9e7b-a484764b3865"",""EileS""],""name"":""EileS"",""ark"":""ark:/83110/x0/77b8a025-e01e-50ab-9e7b-a484764b3865"",""uri"":""/agents/people/4882196"",""id"":""au::45628:1"",""isCapacity"":false}",ark:/83110/x0/77b8a025-e01e-50ab-9e7b-a484764b3865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18a2fd2b-77f7-57c7-9c67-dc85fd831fca,tg:lhps:4482,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19500318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18a2fd2b-77f7-57c7-9c67-dc85fd831fca,tg:lhps:4482,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19500323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18a2fd2b-77f7-57c7-9c67-dc85fd831fca,tg:lhps:4482,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KNS / Aldous Huxley / De Glimlach der Gioconda / Regie en vertaling: Ben Royaards / Met: Jenny van Santvoort, Ben Royaards",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18a2fd2b-77f7-57c7-9c67-dc85fd831fca,tg:lhps:4482,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1950-03-18,1950-03-23,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18a2fd2b-77f7-57c7-9c67-dc85fd831fca,tg:lhps:4482_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,au::100141:1,tg:lhps:4482_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
18a2fd2b-77f7-57c7-9c67-dc85fd831fca,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000004411,referentienummer,False,,,,,,,,,,,,,,,
18a2fd2b-77f7-57c7-9c67-dc85fd831fca,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:4482,brocade id,False,,,,,,,,,,,,,,,
