ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
37454651-8dc0-56c2-a59b-eb06e556f476,tg:lhps:16826,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:16826,record identifiers,https://data.letterenhuis.be/ark:/24970/37454651-8dc0-56c2-a59b-eb06e556f476,object identifier,Affiches,,,,,,
37454651-8dc0-56c2-a59b-eb06e556f476,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0578375e-33b1-48cb-9c78-50a1677b2af5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""feb4b90c-5dd6-4954-81de-22ac8ad1cd92"", ""inverseOntologyProperty"": """"}]"
37454651-8dc0-56c2-a59b-eb06e556f476,tg:lhps:16826,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Copyright Undetermined,
37454651-8dc0-56c2-a59b-eb06e556f476,tg:lhps:16826,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,00001106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37454651-8dc0-56c2-a59b-eb06e556f476,tg:lhps:16826,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,00001106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37454651-8dc0-56c2-a59b-eb06e556f476,tg:lhps:16826,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Koninklijk Museum van Schoone Kunsten<br />
Prof. Dr. E. De Bruyne (Hoogeschool Gent)<br />
Spreekt over<br />
Het artistieke in de schilderkunst</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37454651-8dc0-56c2-a59b-eb06e556f476,tg:lhps:16826,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,uuuu-11-06,uuuu-11-06,circa,circa,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37454651-8dc0-56c2-a59b-eb06e556f476,tg:lhps:16826_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,,Antwerpen (Antwerpen),au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,Antwerpen (Arrondissement Antwerpen),au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,au::100141,au::100141,remarks,Nederlands,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
37454651-8dc0-56c2-a59b-eb06e556f476,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000016247,referentienummer,False,,,,,,,,,,,,,,,,,
37454651-8dc0-56c2-a59b-eb06e556f476,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:16826,brocade id,False,,,,,,,,,,,,,,,,,
