ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
222f9ea8-d0a4-5dab-913e-b4f0d6bde6d9,tg:lhps:4396,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:4396,record identifiers,https://data.letterenhuis.be/ark:/24970/222f9ea8-d0a4-5dab-913e-b4f0d6bde6d9,object identifier,Affiches,,,,,,
222f9ea8-d0a4-5dab-913e-b4f0d6bde6d9,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c75b309b-1987-4f7e-8328-0e2b3466897f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1ed6c878-b15d-423f-9138-48f476d04a12"", ""inverseOntologyProperty"": """"}]"
222f9ea8-d0a4-5dab-913e-b4f0d6bde6d9,tg:lhps:4396,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942.0,2057,In Copyright,
222f9ea8-d0a4-5dab-913e-b4f0d6bde6d9,tg:lhps:4396,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19420131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222f9ea8-d0a4-5dab-913e-b4f0d6bde6d9,tg:lhps:4396,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>KNS / Johann Wolfgang von Goethe / Medeplichtigen / Vertaling en regie: Joris Diels / Heinrich von Kleist / De Gebroken Pot / Vertaling en regie: Joris Diels / Alfred Ghéri / 6de Verdieping</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222f9ea8-d0a4-5dab-913e-b4f0d6bde6d9,tg:lhps:4396,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1942-01-31,,reconstructie,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222f9ea8-d0a4-5dab-913e-b4f0d6bde6d9,tg:lhps:4396_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,,Antwerpen (Antwerpen),au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,Antwerpen (Arrondissement Antwerpen),au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,au::100141,au::100141,remarks,Nederlands,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
222f9ea8-d0a4-5dab-913e-b4f0d6bde6d9,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000004332,referentienummer,False,,,,,,,,,,,,,,,,,
222f9ea8-d0a4-5dab-913e-b4f0d6bde6d9,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:4396,brocade id,False,,,,,,,,,,,,,,,,,
222f9ea8-d0a4-5dab-913e-b4f0d6bde6d9,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:4396/N,brocade url,False,,,,,,,,,,,,,,,,,
