ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
5245610c-1122-52fb-9e43-93ba80613f3f,tg:lhps:61760,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:61760,https://data.letterenhuis.be/ark:/24970/5245610c-1122-52fb-9e43-93ba80613f3f,Affiches,,,,,
5245610c-1122-52fb-9e43-93ba80613f3f,tg:lhps:61760,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.0,2077,In Copyright
5245610c-1122-52fb-9e43-93ba80613f3f,tg:lhps:61760,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19621220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5245610c-1122-52fb-9e43-93ba80613f3f,tg:lhps:61760,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19630216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5245610c-1122-52fb-9e43-93ba80613f3f,tg:lhps:61760,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mercator / Tentoonstelling Gerard Mercator en de kaartmakers van zijn tijd / Maritiem Museum ""Prins Hendrik",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5245610c-1122-52fb-9e43-93ba80613f3f,tg:lhps:61760,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1962-12-20,1963-02-16,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5245610c-1122-52fb-9e43-93ba80613f3f,tg:lhps:61760_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,,2ee58405-b913-5a67-b00b-69b58b4ab0d9,au::105187:1,tg:lhps:61760_#1,"dlod={""name"":""Rotterdam (Zuid-Holland)"",""ark"":""ark:/83110/x0/2ee58405-b913-5a67-b00b-69b58b4ab0d9"",""uri"":""/subjects/11255009"",""id"":""au::105187"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
5245610c-1122-52fb-9e43-93ba80613f3f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000057544,referentienummer,False,,,,,,,,,,,,,,,
5245610c-1122-52fb-9e43-93ba80613f3f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:61760,brocade id,False,,,,,,,,,,,,,,,
5245610c-1122-52fb-9e43-93ba80613f3f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:61760/N,brocade url,False,,,,,,,,,,,,,,,
5245610c-1122-52fb-9e43-93ba80613f3f,tg:lhps:61760,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""dbe1d44b-9132-5256-8f4c-13eee0a4ff02"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d71c89b8-dd3f-4fc0-bc12-58bd697003c5"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
5245610c-1122-52fb-9e43-93ba80613f3f,tg:lhps:61760,e73_OriginalBrocade,,,au::12606,,,,lhps,,,85993ad2-8a85-5e35-a79f-9621489e6b68,kw,,au::12606:1,au::12606g:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/1348842"",""au::12606"",""au::12606:1"",""ark:/83110/x0/85993ad2-8a85-5e35-a79f-9621489e6b68"",""Gerard Mercator""],""name"":""Gerard Mercator"",""ark"":""ark:/83110/x0/85993ad2-8a85-5e35-a79f-9621489e6b68"",""uri"":""/agents/people/1348842"",""id"":""au::12606:1"",""isCapacity"":false}",ark:/83110/x0/85993ad2-8a85-5e35-a79f-9621489e6b68,agent,,,,,,,,,
5245610c-1122-52fb-9e43-93ba80613f3f,tg:lhps:61760,e73_OriginalBrocade,,,au::18159,,,,lhps,,,4b0abb5b-a34f-50ea-a1e4-b9f1313d4b4b,kw,,au::18159:1,au::18159g:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/corporate_entities/1943013"",""au::18159"",""au::18159:1"",""ark:/83110/x0/4b0abb5b-a34f-50ea-a1e4-b9f1313d4b4b"",""Tentoonstellingen Geschiedenis""],""name"":""Tentoonstellingen Geschiedenis"",""ark"":""ark:/83110/x0/4b0abb5b-a34f-50ea-a1e4-b9f1313d4b4b"",""uri"":""/agents/corporate_entities/1943013"",""id"":""au::18159:1"",""isCapacity"":false}",ark:/83110/x0/4b0abb5b-a34f-50ea-a1e4-b9f1313d4b4b,agent,,,,,,,,,
5245610c-1122-52fb-9e43-93ba80613f3f,tg:lhps:61760,e73_OriginalBrocade,,,au::13285,,,,lhps,,,a7334baf-fcc4-5453-af3d-52876272a9a8,kw,,au::13285:1,au::13285g:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""name"":""Musea"",""ark"":""ark:/83110/x0/a7334baf-fcc4-5453-af3d-52876272a9a8"",""uri"":""/subjects/1421495"",""id"":""au::13285"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""topic""}",ark:/83110/x0/a7334baf-fcc4-5453-af3d-52876272a9a8,topic,,,,,,,,,
5245610c-1122-52fb-9e43-93ba80613f3f,tg:lhps:61760,e73_OriginalBrocade,,,au::105187,,,,lhps,,,2ee58405-b913-5a67-b00b-69b58b4ab0d9,kw,,au::105187:1,au::105187g:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""name"":""Rotterdam (Zuid-Holland)"",""ark"":""ark:/83110/x0/2ee58405-b913-5a67-b00b-69b58b4ab0d9"",""uri"":""/subjects/11255009"",""id"":""au::105187"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",ark:/83110/x0/2ee58405-b913-5a67-b00b-69b58b4ab0d9,place,,,,,,,,,
