ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
5e7c5f0d-9f18-53f9-ab07-93c6c412519b,tg:lhps:40348,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:40348,https://data.letterenhuis.be/ark:/24970/5e7c5f0d-9f18-53f9-ab07-93c6c412519b,Affiches,,,,,
5e7c5f0d-9f18-53f9-ab07-93c6c412519b,tg:lhps:40348,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978.0,2093,In Copyright
5e7c5f0d-9f18-53f9-ab07-93c6c412519b,tg:lhps:40348,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19781205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e7c5f0d-9f18-53f9-ab07-93c6c412519b,tg:lhps:40348,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philharmonie concerten / Dirigent: André Vandernoot / Soliste: Janet Price / Programma,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e7c5f0d-9f18-53f9-ab07-93c6c412519b,tg:lhps:40348,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1978-12-05,,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e7c5f0d-9f18-53f9-ab07-93c6c412519b,tg:lhps:40348_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,au::100141:1,tg:lhps:40348_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
5e7c5f0d-9f18-53f9-ab07-93c6c412519b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000036349,referentienummer,False,,,,,,,,,,,,,,,
5e7c5f0d-9f18-53f9-ab07-93c6c412519b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:40348,brocade id,False,,,,,,,,,,,,,,,
5e7c5f0d-9f18-53f9-ab07-93c6c412519b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:40348/N,brocade url,False,,,,,,,,,,,,,,,
5e7c5f0d-9f18-53f9-ab07-93c6c412519b,tg:lhps:40348,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ba02ab3a-87f2-58ff-97c3-a0bd95fa86f6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""68071596-2ce2-46c9-add8-dda3326a9a7e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
