ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
1cde4edc-8610-5951-a638-68617d92afa2,tg:lhps:62078,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:62078,https://data.letterenhuis.be/ark:/24970/1cde4edc-8610-5951-a638-68617d92afa2,Affiches,,,,,
1cde4edc-8610-5951-a638-68617d92afa2,tg:lhps:62078,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Ontwerp: Oeyen &amp; Winters</p>
","<p>Ontwerp: Oeyen &amp; Winters</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1cde4edc-8610-5951-a638-68617d92afa2,tg:lhps:62078,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,2134,In Copyright
1cde4edc-8610-5951-a638-68617d92afa2,tg:lhps:62078,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,20191027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1cde4edc-8610-5951-a638-68617d92afa2,tg:lhps:62078,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,Big Bang Festival / Avontuurlijk Muziekfestival voor een jong publiek / deSingel,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1cde4edc-8610-5951-a638-68617d92afa2,tg:lhps:62078,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,2019-10-27,,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1cde4edc-8610-5951-a638-68617d92afa2,tg:lhps:62078_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141:1,tg:lhps:62078_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
1cde4edc-8610-5951-a638-68617d92afa2,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000057871,referentienummer,False,,,,,,,,,,,,,,,
1cde4edc-8610-5951-a638-68617d92afa2,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:62078,brocade id,False,,,,,,,,,,,,,,,
1cde4edc-8610-5951-a638-68617d92afa2,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:62078/N,brocade url,False,,,,,,,,,,,,,,,
