ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
5c064b2e-ab93-5572-a8d3-3c60bcc72f8c,tg:lhps:9317,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:9317,https://data.letterenhuis.be/ark:/24970/5c064b2e-ab93-5572-a8d3-3c60bcc72f8c,Affiches,,,,,
5c064b2e-ab93-5572-a8d3-3c60bcc72f8c,tg:lhps:9317,e73_AnnotationsImmaterial,1,note.lhalg,"<p>pub: <em>Zuurvrij</em>, nr. 6, p. 47</p>
","<p>pub: <em>Zuurvrij</em>, nr. 6, p. 47</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c064b2e-ab93-5572-a8d3-3c60bcc72f8c,tg:lhps:9317,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940.0,2055,In Copyright
5c064b2e-ab93-5572-a8d3-3c60bcc72f8c,tg:lhps:9317,e73_CreationActors,,,au::11866,,,,lhps,lhps,Affiche,3455c7f7-5565-575d-bae4-7df7e35f62cb,ds,designers,au::11866:1,au::11866g:1,,"dlod={""suggest"":[""/agents/people/1269662"",""au::11866"",""au::11866:1"",""ark:/83110/x0/3455c7f7-5565-575d-bae4-7df7e35f62cb"",""Simone Lutgen""],""name"":""Simone Lutgen"",""ark"":""ark:/83110/x0/3455c7f7-5565-575d-bae4-7df7e35f62cb"",""uri"":""/agents/people/1269662"",""id"":""au::11866:1"",""isCapacity"":false}",ark:/83110/x0/3455c7f7-5565-575d-bae4-7df7e35f62cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c064b2e-ab93-5572-a8d3-3c60bcc72f8c,tg:lhps:9317,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19400323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c064b2e-ab93-5572-a8d3-3c60bcc72f8c,tg:lhps:9317,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19400404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c064b2e-ab93-5572-a8d3-3c60bcc72f8c,tg:lhps:9317,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNS / [H. Lengsfelder en S. Fisch] / Waarom lieg je cherie? / 25 maart - 4 april / Gezelschap Joris Diels / Andreas Solt en Stefan Bekeffi / Verstoorde bruidsnacht / Koninklijk Kunstverbond / 23 maart - 1 april,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c064b2e-ab93-5572-a8d3-3c60bcc72f8c,tg:lhps:9317,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1940-03-23,1940-04-04,reconstructie,reconstructie,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c064b2e-ab93-5572-a8d3-3c60bcc72f8c,tg:lhps:9317_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,au::100141:1,tg:lhps:9317_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
5c064b2e-ab93-5572-a8d3-3c60bcc72f8c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000009145,referentienummer,False,,,,,,,,,,,,,,,
5c064b2e-ab93-5572-a8d3-3c60bcc72f8c,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:9317,brocade id,False,,,,,,,,,,,,,,,
5c064b2e-ab93-5572-a8d3-3c60bcc72f8c,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:9317/N,brocade url,False,,,,,,,,,,,,,,,
5c064b2e-ab93-5572-a8d3-3c60bcc72f8c,tg:lhps:9317,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6460a0e0-5076-5202-b23d-0767d12a932e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1c7a09d1-7eef-4d0a-bd89-89a85055c8f9"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
