ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,tg:lhbr:51342,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:51342,record identifiers,https://data.letterenhuis.be/ark:/24970/1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,object identifier,Brieven,,,,,,
1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6bd82389-ffd7-4ad1-ab0e-dc5c278db6cc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d1dc8d43-b7a7-46a7-9364-3688509fa753"", ""inverseOntologyProperty"": """"}]"
1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,tg:lhbr:51342,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923.0,2038,In Copyright,
1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,tg:lhbr:51342,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,tg:lhbr:51342,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,tg:lhbr:51342,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1923,1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,tg:lhbr:51342,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000049463,referentienummer,False,,,,,,,,,,,,,,,
1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:51342,brocade id,False,,,,,,,,,,,,,,,
1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:51342/N,brocade url,False,,,,,,,,,,,,,,,
1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,tg:lhbr:51342,e73_LegacyInformationMerged,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 brgr,groepsbeschrijving,False,17,brgr,,,,,,,,,,,,,
1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,tg:lhbr:51342,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e1ee4a83-caad-59db-ae3f-729e0445fa34"", ""ontologyProperty"": """", ""resourceXresourceId"": ""01974f2d-d04c-488f-bd95-21ef66729fd0"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,tg:lhbr:51342,e73_Titles,,,au::6403,,,,lhbr,lhbr,Brief,bbea8718-5feb-517e-b9e0-4ecc0af22b06,bs,,au::6403:1,au::6403g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/685121"",""au::6403"",""au::6403:1"",""ark:/83110/x0/bbea8718-5feb-517e-b9e0-4ecc0af22b06"",""Frans van Ermengem"",""ark:/83110/x0/04c832a4-e2fd-5f4f-a96b-9358b249a8a1""],""name"":""Frans van Ermengem"",""ark"":""ark:/83110/x0/04c832a4-e2fd-5f4f-a96b-9358b249a8a1"",""uri"":""/agents/people/685121"",""id"":""au::6403:1"",""resourceArk"":""ark:/83110/x0/bbea8718-5feb-517e-b9e0-4ecc0af22b06"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/bbea8718-5feb-517e-b9e0-4ecc0af22b06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e6e8dd3-91d9-5d31-9e36-918d8940e3e4,tg:lhbr:51342,e73_Titles,,,au::13075,,,,lhbr,lhbr,Brief,67b78ec4-0a19-5856-99a3-7fdb36d5ef22,co,,au::13075:1,au::13075g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1399025"",""au::13075"",""au::13075:1"",""ark:/83110/x0/67b78ec4-0a19-5856-99a3-7fdb36d5ef22"",""Pol de Mont"",""ark:/83110/x0/12306f38-d293-5a34-ad3b-c3bc3f52228b""],""name"":""Pol de Mont"",""ark"":""ark:/83110/x0/12306f38-d293-5a34-ad3b-c3bc3f52228b"",""uri"":""/agents/people/1399025"",""id"":""au::13075:1"",""resourceArk"":""ark:/83110/x0/67b78ec4-0a19-5856-99a3-7fdb36d5ef22"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/67b78ec4-0a19-5856-99a3-7fdb36d5ef22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
