ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,order,source_field,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Depicted Item Type,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
be985a73-618d-51f7-8dcd-8c76fd204cb8,tg:mpmph:47,,,,AA,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:47,https://data.museumplantinmoretus.be/ark:/11975/be985a73-618d-51f7-8dcd-8c76fd204cb8,Foto's,,,,
be985a73-618d-51f7-8dcd-8c76fd204cb8,,,,,e73_ChangeHistoryRelations,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ed5aa2c5-f17e-4c1a-b1bb-f9118b7563f4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""040c8e2d-4e59-4fca-8fe6-129a972c0a5e"", ""inverseOntologyProperty"": """"}]"
be985a73-618d-51f7-8dcd-8c76fd204cb8,tg:mpmph:47,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
be985a73-618d-51f7-8dcd-8c76fd204cb8,tg:mpmph:47,mpm,mpmph,Foto,e73_CreationActors,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""isCapacity"":false}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be985a73-618d-51f7-8dcd-8c76fd204cb8,tg:mpmph:47,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,0,id/date.exposure/so,,,,,,,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
be985a73-618d-51f7-8dcd-8c76fd204cb8,tg:mpmph:47,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,
be985a73-618d-51f7-8dcd-8c76fd204cb8,tg:mpmph:47,,,,e73_Descriptions,,,,,,,,,,,id.desc,,,,,,,,,,,,,"Fragment van *Le troysieme livre contenant plusieurs duos …* (Paris, 1551, Granjon en Fezendat)
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,
be985a73-618d-51f7-8dcd-8c76fd204cb8,,,,,e73_LegacyInformation,,,,,,,,,,0,id.objectNumber,,,,,,,,,,,,,,,,BE-ANN00/ph/000000036,referentienummer,False,,,,,,,,,,,,,,
be985a73-618d-51f7-8dcd-8c76fd204cb8,,,,,e73_LegacyInformation,,,,,,,,,,1,brocade.id,,,,,,,,,,,,,,,,tg:mpmph:47,brocade id,False,,,,,,,,,,,,,,
be985a73-618d-51f7-8dcd-8c76fd204cb8,,,,,e73_LegacyInformation,,,,,,,,,,1,brocade.url,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:47/N,brocade url,False,,,,,,,,,,,,,,
be985a73-618d-51f7-8dcd-8c76fd204cb8,tg:mpmph:47,,,,e73_MaterialRecords,,,,,,,,,,1,materialRecords,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d2124053-2b48-50da-9eed-1955f07b1224"", ""ontologyProperty"": """", ""resourceXresourceId"": ""67fb5d5a-acd8-4443-8c23-d7f44f6835a1"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,
