ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,order,source_field,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Depicted Item Type,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
8e67ae5a-ecce-5684-aec6-c266ea6a8d35,tg:mpmph:59,,,,AA,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:59,https://data.museumplantinmoretus.be/ark:/11975/8e67ae5a-ecce-5684-aec6-c266ea6a8d35,Foto's,,,,
8e67ae5a-ecce-5684-aec6-c266ea6a8d35,,,,,e73_ChangeHistoryRelations,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2acfa4d5-d734-404f-ac6c-f00ddeb87824"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ba95056b-9b5d-456e-9b09-98a0836f1ebe"", ""inverseOntologyProperty"": """"}]"
8e67ae5a-ecce-5684-aec6-c266ea6a8d35,tg:mpmph:59,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
8e67ae5a-ecce-5684-aec6-c266ea6a8d35,tg:mpmph:59,mpm,mpmph,Foto,e73_CreationActors,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""isCapacity"":false}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e67ae5a-ecce-5684-aec6-c266ea6a8d35,tg:mpmph:59,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,0,id/date.exposure/so,,,,,,,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
8e67ae5a-ecce-5684-aec6-c266ea6a8d35,tg:mpmph:59,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,
8e67ae5a-ecce-5684-aec6-c266ea6a8d35,tg:mpmph:59,,,,e73_Descriptions,,,,,,,,,,,id.desc,,,,,,,,,,,,,"Fragment van *La bible qui est toute la saincte éscriture …* ([Genève], Crespin, 1554)
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,
8e67ae5a-ecce-5684-aec6-c266ea6a8d35,,,,,e73_LegacyInformation,,,,,,,,,,0,id.objectNumber,,,,,,,,,,,,,,,,BE-ANN00/ph/000000048,referentienummer,False,,,,,,,,,,,,,,
8e67ae5a-ecce-5684-aec6-c266ea6a8d35,,,,,e73_LegacyInformation,,,,,,,,,,1,brocade.id,,,,,,,,,,,,,,,,tg:mpmph:59,brocade id,False,,,,,,,,,,,,,,
8e67ae5a-ecce-5684-aec6-c266ea6a8d35,,,,,e73_LegacyInformation,,,,,,,,,,1,brocade.url,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:59/N,brocade url,False,,,,,,,,,,,,,,
8e67ae5a-ecce-5684-aec6-c266ea6a8d35,tg:mpmph:59,,,,e73_MaterialRecords,,,,,,,,,,1,materialRecords,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e6bfc5c3-6da1-5707-beec-1b71aaab4bf3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c387ad2a-710a-4a4f-8d27-92f23e60b63f"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,
