ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,order,source_field,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Depicted Item Type,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
4d365fa2-2ad0-53e9-a168-01512accff50,tg:mpmph:92,,,,AA,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:92,https://data.museumplantinmoretus.be/ark:/11975/4d365fa2-2ad0-53e9-a168-01512accff50,Foto's,,,,
4d365fa2-2ad0-53e9-a168-01512accff50,tg:mpmph:92,,,,Places,,,,,,,,,,1,id/place.place,[Leiden],remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d365fa2-2ad0-53e9-a168-01512accff50,,,,,e73_ChangeHistoryRelations,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fc9efa37-7486-4c9d-8fe5-726112c99e6b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""67e0fef8-0dcb-4d76-be99-189758ba39a0"", ""inverseOntologyProperty"": """"}]"
4d365fa2-2ad0-53e9-a168-01512accff50,tg:mpmph:92,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
4d365fa2-2ad0-53e9-a168-01512accff50,tg:mpmph:92,mpm,mpmph,Foto,e73_CreationActors,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""isCapacity"":false}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d365fa2-2ad0-53e9-a168-01512accff50,tg:mpmph:92,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,0,id/date.exposure/so,,,,,,,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
4d365fa2-2ad0-53e9-a168-01512accff50,tg:mpmph:92,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,
4d365fa2-2ad0-53e9-a168-01512accff50,tg:mpmph:92,,,,e73_Descriptions,,,,,,,,,,,id.desc,,,,,,,,,,,,,"*Proeve der drukkerye van mr. Abraham Elzevier, in sijn leven drukker van de universiteyt tot Leyden. Bestaande in vier schoone druk-parssen, …* (Abraham Elzevier, Leiden 1713)
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,
4d365fa2-2ad0-53e9-a168-01512accff50,,,,,e73_LegacyInformation,,,,,,,,,,0,id.objectNumber,,,,,,,,,,,,,,,,BE-ANN00/ph/000000081,referentienummer,False,,,,,,,,,,,,,,
4d365fa2-2ad0-53e9-a168-01512accff50,,,,,e73_LegacyInformation,,,,,,,,,,1,brocade.id,,,,,,,,,,,,,,,,tg:mpmph:92,brocade id,False,,,,,,,,,,,,,,
4d365fa2-2ad0-53e9-a168-01512accff50,,,,,e73_LegacyInformation,,,,,,,,,,1,brocade.url,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:92/N,brocade url,False,,,,,,,,,,,,,,
4d365fa2-2ad0-53e9-a168-01512accff50,tg:mpmph:92,,,,e73_MaterialRecords,,,,,,,,,,1,materialRecords,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""27cefa72-ec66-5eb1-a976-177cb107b710"", ""ontologyProperty"": """", ""resourceXresourceId"": ""876e0a64-5ae0-4354-a034-0b9368e25ad0"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,
