ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,Start Date,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,museum,ire.isaar.uuid,source_ire_type,Original Entity Type,ire.isaar.id,place_au_code,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
fdb624e3-d90e-5e11-8e35-f25d866e1532,tg:rubgr:3317,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:3317,https://data.rubenianum.be//ark:/86530/fdb624e3-d90e-5e11-8e35-f25d866e1532,Foto's,,,,
fdb624e3-d90e-5e11-8e35-f25d866e1532,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5ffa0050-9b64-4109-a84b-ecb8e3adac36"", ""ontologyProperty"": """", ""resourceXresourceId"": ""67e0f41b-c588-4a8e-a363-78ef46ffe0bc"", ""inverseOntologyProperty"": """"}]"
fdb624e3-d90e-5e11-8e35-f25d866e1532,tg:rubgr:3317,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
fdb624e3-d90e-5e11-8e35-f25d866e1532,tg:rubgr:3317,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,"1 zw/ w foto: [Stempel Koninklijk Museum voor Schone Kunsten, Antwerpen]; [Notitie in onbekend handschrift]: ' P. Breughel III, L' Avocat des mauvaises causes.'",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdb624e3-d90e-5e11-8e35-f25d866e1532,tg:rubgr:3317,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brueghel, Pieter (III)",,,,,,,,,,,,,,,,,,,,,,,,,,,
fdb624e3-d90e-5e11-8e35-f25d866e1532,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000003317,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,,,
fdb624e3-d90e-5e11-8e35-f25d866e1532,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>5569</priref>
			<number>AFG_092_047</number>
			<content>1 zw/ w foto: [Stempel Koninklijk Museum voor Schone Kunsten, Antwerpen]; [Notitie in onbekend handschrift]: ' P. Breughel III, L' Avocat des mauvaises causes.'</content>
			<object.object_number>AFG_092</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<class>AFG</class>
			<editorial_form>foto</editorial_form>
			<object.title>Wrong or doubtful Attributions except Jan Brueghel. Copies after Lost Pictures &amp; after extant Works. Grossmann 242</object.title>
			<keyword>Brueghel, Pieter (III)</keyword>
			<keyword>Antwerpen, Koninklijk Museum voor Schone Kunsten</keyword>
			<object.creator/>
			<input.date>2014-06-17</input.date>
			<edit.date>2014-06-17</edit.date>
			<input.name>Centrum</input.name>
			<edit.name>Centrum</edit.name>
			<edit.time>14:00:05</edit.time>
			<input.time>13:45:48</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,,,,
fdb624e3-d90e-5e11-8e35-f25d866e1532,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:3317,brocade id,False,,,,,,,,,,,,,,,,,,,,,,,,
fdb624e3-d90e-5e11-8e35-f25d866e1532,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:3317/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,,,,
fdb624e3-d90e-5e11-8e35-f25d866e1532,tg:rubgr:3317,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""86ee7e24-947d-5158-82c1-8f481374c4e0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7dddfac6-85ba-495b-bd8d-0541518428eb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,
fdb624e3-d90e-5e11-8e35-f25d866e1532,tg:rubgr:3317,e73_OriginalBrocade,,,au::10469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rub,96b4e14d-110b-560e-b4a8-baa39d4a43e2,kw,keywords,au::10469:1,au::10469g:1,,"dlod={""suggest"":[""/agents/corporate_entities/1120183"",""au::10469"",""au::10469:1"",""ark:/83110/x0/96b4e14d-110b-560e-b4a8-baa39d4a43e2"",""Koninklijk Museum voor Schone Kunsten [Antwerpen]""],""name"":""Koninklijk Museum voor Schone Kunsten [Antwerpen]"",""ark"":""ark:/83110/x0/96b4e14d-110b-560e-b4a8-baa39d4a43e2"",""uri"":""/agents/corporate_entities/1120183"",""id"":""au::10469:1"",""isCapacity"":false}",ark:/83110/x0/96b4e14d-110b-560e-b4a8-baa39d4a43e2,agent,,,,,,,,,,,,,
fdb624e3-d90e-5e11-8e35-f25d866e1532,tg:rubgr:3317,e73_OtherIdentifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG_092_047,repository numbers,,,,,,,,,,,
fdb624e3-d90e-5e11-8e35-f25d866e1532,tg:rubgr:3317,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG_092_047,titles proper,Dutch (language),,,,,,,,
