ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,Start Date,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,museum,ire.isaar.uuid,source_ire_type,Original Entity Type,ire.isaar.id,place_au_code,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
01c8e252-0dd6-595d-bf6d-27747e0a3e2f,tg:rubgr:2356,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:2356,https://data.rubenianum.be//ark:/86530/01c8e252-0dd6-595d-bf6d-27747e0a3e2f,Foto's,,,,
01c8e252-0dd6-595d-bf6d-27747e0a3e2f,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""cafb4f28-1de3-416b-81f8-2846c9f4bd06"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fd29a5c6-891f-443a-8d07-649e14d6fe9e"", ""inverseOntologyProperty"": """"}]"
01c8e252-0dd6-595d-bf6d-27747e0a3e2f,tg:rubgr:2356,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
01c8e252-0dd6-595d-bf6d-27747e0a3e2f,tg:rubgr:2356,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,"[1 zw/w foto met stempel: National Gallery, London]; [Notitie FG]: ' Jan Brueghel, Adoration. F. Grossmann 26.",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01c8e252-0dd6-595d-bf6d-27747e0a3e2f,tg:rubgr:2356,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,"Londen, National Gallery of Art",,,,,,,,,,,,,,,,,,,,,,,,,,,
01c8e252-0dd6-595d-bf6d-27747e0a3e2f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000002356,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,,,
01c8e252-0dd6-595d-bf6d-27747e0a3e2f,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>4599</priref>
			<number>AFG_077_040</number>
			<content>[1 zw/w foto met stempel: National Gallery, London]; [Notitie FG]: ' Jan Brueghel, Adoration. F. Grossmann 26.</content>
			<object.object_number>AFG_077</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<class>AFG</class>
			<editorial_form>Notitie</editorial_form>
			<editorial_form>foto</editorial_form>
			<object.title>Grossmann 242</object.title>
			<keyword>Brueghel, Jan I</keyword>
			<keyword>Londen, National Gallery of Art</keyword>
			<object.creator>Breughel, Jan I</object.creator>
			<input.date>2013-06-05</input.date>
			<edit.date>2014-11-28</edit.date>
			<edit.date>2013-06-21</edit.date>
			<edit.date>2013-06-21</edit.date>
			<input.name>valkeneers</input.name>
			<edit.name>Centrum</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.time>11:50:01</edit.time>
			<edit.time>11:37:51</edit.time>
			<edit.time>11:37:19</edit.time>
			<input.time>15:21:17</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,,,,
01c8e252-0dd6-595d-bf6d-27747e0a3e2f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:2356,brocade id,False,,,,,,,,,,,,,,,,,,,,,,,,
01c8e252-0dd6-595d-bf6d-27747e0a3e2f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:2356/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,,,,
01c8e252-0dd6-595d-bf6d-27747e0a3e2f,tg:rubgr:2356,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""478d2862-985b-58bd-9f23-e64ed80dcfc0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""eab9fd69-5e85-4ba3-a0bd-e2a9266acb8d"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,
