ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,source_date,Copyright Revision Date,Copyright Type,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Genre Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,Transactions
b4821c68-3f81-5bf2-a0b4-5a4a12c32f25,tg:lhhs:6584,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:6584,record identifiers,https://data.letterenhuis.be/ark:/24970/b4821c68-3f81-5bf2-a0b4-5a4a12c32f25,object identifier,Handschriften,,,
b4821c68-3f81-5bf2-a0b4-5a4a12c32f25,tg:lhhs:6584,e73_AnnotationsImmaterial,1,note.lhalg,"<p>** Beschrijving ** Drama in vier bedrijven en een voorspel, handgeschreven in<br />
3 schriftjes.</p>
","<p>** Beschrijving ** Drama in vier bedrijven en een voorspel, handgeschreven in<br />
3 schriftjes.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4821c68-3f81-5bf2-a0b4-5a4a12c32f25,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2e170b8f-a57a-4843-9ba9-263e937b916f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2875a7db-25ea-476f-a952-0a81475dd0e0"", ""inverseOntologyProperty"": """"}]"
b4821c68-3f81-5bf2-a0b4-5a4a12c32f25,tg:lhhs:6584,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,Copyright Undetermined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4821c68-3f81-5bf2-a0b4-5a4a12c32f25,tg:lhhs:6584,e73_GenreTypes,1,kenmerken.lhgenrehs,dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drama (literary genre),,,,,,,,,,,,,,,,,,,,,,
b4821c68-3f81-5bf2-a0b4-5a4a12c32f25,tg:lhhs:6584,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,,,,
b4821c68-3f81-5bf2-a0b4-5a4a12c32f25,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/hs/000006398,referentienummer,False,,,,,,,,,,,,,,,,,,
b4821c68-3f81-5bf2-a0b4-5a4a12c32f25,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhhs:6584,brocade id,False,,,,,,,,,,,,,,,,,,
b4821c68-3f81-5bf2-a0b4-5a4a12c32f25,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhhs:6584/N,brocade url,False,,,,,,,,,,,,,,,,,,
b4821c68-3f81-5bf2-a0b4-5a4a12c32f25,tg:lhhs:6584,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8048cfdc-b019-500c-acd1-21d1c90e71a4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1eab4534-6745-4e70-bb99-d48336957b60"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,
b4821c68-3f81-5bf2-a0b4-5a4a12c32f25,tg:lhhs:6584,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wraak en weerwraak.,titles proper,Dutch (language),,,,,,,,,
b4821c68-3f81-5bf2-a0b4-5a4a12c32f25,tg:lhhs:6584,e73_Titles,,,au::21538,,,,lh,lhhs,Tekstdrager,1d72bb01-aa13-5d87-abc9-85013f53f7d9,au,,au::21538:1,au::21538g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,authors,,"dlod={""suggest"":[""/agents/people/2304566"",""au::21538"",""au::21538:1"",""ark:/83110/x0/1d72bb01-aa13-5d87-abc9-85013f53f7d9"",""Nicolaas Winkeler"",""ark:/83110/x0/a9fb1738-342b-5b8e-97d3-8469db965b87""],""name"":""Nicolaas Winkeler"",""ark"":""ark:/83110/x0/a9fb1738-342b-5b8e-97d3-8469db965b87"",""uri"":""/agents/people/2304566"",""id"":""au::21538:1"",""resourceArk"":""ark:/83110/x0/1d72bb01-aa13-5d87-abc9-85013f53f7d9"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1d72bb01-aa13-5d87-abc9-85013f53f7d9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
