ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
b60e2908-70f0-510d-b06c-9747fdfcfb1e,tg:lhhs:19545_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:19545_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/b60e2908-70f0-510d-b06c-9747fdfcfb1e,object identifier,,,,,,,,,,,
b60e2908-70f0-510d-b06c-9747fdfcfb1e,tg:lhhs:19545_#1,e22_AcquisitionNumbers,1,,,,51871,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b60e2908-70f0-510d-b06c-9747fdfcfb1e,tg:lhhs:19545_#1,e22_Acquisitions,1,tr:lh:2629,"dlod={""name"":""Archiefstukken van Achiel Corn"",""ark"":""ark:/24970/x0/b6c437ed-f9f5-555f-90e7-80cfcfae03e7"",""uri"":""/repositories/11/accessions/281306"",""id"":""tr:lh:2629"",""date"":""1955-03-18"",""granter"":""Achiel Cornil"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/b6c437ed-f9f5-555f-90e7-80cfcfae03e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b60e2908-70f0-510d-b06c-9747fdfcfb1e,tg:lhhs:19545_#1,e22_Archives,1,,,,,,,,,,,isad:lh:162841,"dlod={""name"":""1943 - Het gulden tijdperk der ontdekkingsreizen ter zee"",""ark"":""ark:/24970/x0/6893fe2e-501e-5902-9add-bd9aa64b47a5"",""uri"":""/repositories/11/archival_objects/17423990"",""id"":""isad:lh:162841"",""nameWithContext"":[""Werkstukken"",""Handschriften van Achiel Cornil"",""Verhalend proza / Fictie""],""resourceName"":""Archief van Achiel Cornil"",""resourceArk"":""ark:/24970/x0/217afd0e-08d1-5c06-95f7-261b8f812043"",""resourceURI"":""/repositories/11/resources/192282"",""resourceID"":""isad:lh:1797"",""capacity"":""1943 - Het gulden tijdperk der ontdekkingsreizen ter zee"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/6893fe2e-501e-5902-9add-bd9aa64b47a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b60e2908-70f0-510d-b06c-9747fdfcfb1e,tg:lhhs:19545_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,"28,6 x 22,2",,,,,,,,,,,,,"28,6 x 22,2 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b60e2908-70f0-510d-b06c-9747fdfcfb1e,tg:lhhs:19545_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,286,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b60e2908-70f0-510d-b06c-9747fdfcfb1e,tg:lhhs:19545_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,222,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b60e2908-70f0-510d-b06c-9747fdfcfb1e,tg:lhhs:19545_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,192,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b60e2908-70f0-510d-b06c-9747fdfcfb1e,tg:lhhs:19545_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,192,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b60e2908-70f0-510d-b06c-9747fdfcfb1e,tg:lhhs:19545_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhhs,tg:lhhs:19545_#1,isad:lh:162841,b60e2908-70f0-510d-b06c-9747fdfcfb1e,,51871,C 3592 / H (4),tr:lh:2629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
