ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
0ba35da0-32c6-5274-8bb3-d8fb4f726595,tg:lhhs:7836_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:7836_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/0ba35da0-32c6-5274-8bb3-d8fb4f726595,object identifier,,,,,,,,,,,
0ba35da0-32c6-5274-8bb3-d8fb4f726595,tg:lhhs:7836_#1,e22_AcquisitionNumbers,1,,,,169085,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ba35da0-32c6-5274-8bb3-d8fb4f726595,tg:lhhs:7836_#1,e22_Archives,1,,,,,,,,,,,isad:lh:89160,"dlod={""name"":""Poëzie"",""ark"":""ark:/24970/x0/57da7c0d-981b-5f13-aa84-15bac467efc8"",""uri"":""/repositories/11/archival_objects/9540123"",""id"":""isad:lh:89160"",""nameWithContext"":[""Werkstukken"",""Handschriften van Jozef Weyns""],""resourceName"":""Archief van Jozef Weyns"",""resourceArk"":""ark:/24970/x0/543eb127-acb5-55a1-893f-a5fa19980d58"",""resourceURI"":""/repositories/11/resources/6484310"",""resourceID"":""isad:lh:60601"",""capacity"":""Poëzie"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/57da7c0d-981b-5f13-aa84-15bac467efc8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ba35da0-32c6-5274-8bb3-d8fb4f726595,tg:lhhs:7836_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,"29,7 x 21",,,,,,,,,,,,,"29,7 x 21 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ba35da0-32c6-5274-8bb3-d8fb4f726595,tg:lhhs:7836_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,297,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ba35da0-32c6-5274-8bb3-d8fb4f726595,tg:lhhs:7836_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,210,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ba35da0-32c6-5274-8bb3-d8fb4f726595,tg:lhhs:7836_#1,e22_DocumentStatus,1,,,,,,kenmerken.lhorighs,fc,,,,,,,,,,,,,,photocopies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ba35da0-32c6-5274-8bb3-d8fb4f726595,tg:lhhs:7836_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,1,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ba35da0-32c6-5274-8bb3-d8fb4f726595,tg:lhhs:7836_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,1,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ba35da0-32c6-5274-8bb3-d8fb4f726595,tg:lhhs:7836_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhhs,tg:lhhs:7836_#1,isad:lh:89160,0ba35da0-32c6-5274-8bb3-d8fb4f726595,,169085,W 592 / H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
