ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
a13f827d-388e-53be-8d2f-483992f90fff,tg:lhhs:16161_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:16161_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/a13f827d-388e-53be-8d2f-483992f90fff,object identifier,,,,,,,,,,,
a13f827d-388e-53be-8d2f-483992f90fff,tg:lhhs:16161_#1,e22_AcquisitionNumbers,1,,,,127492,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a13f827d-388e-53be-8d2f-483992f90fff,tg:lhhs:16161_#1,e22_Acquisitions,1,tr:lh:5904,"dlod={""name"":""Archief van Karel van de Woestijne"",""ark"":""ark:/24970/x0/c788978c-8581-5a56-a1b5-e8b1a1106059"",""uri"":""/repositories/11/accessions/631731"",""id"":""tr:lh:5904"",""date"":""1983-04-15"",""granter"":""Adrienne van de Woestijne-De Zutter"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/c788978c-8581-5a56-a1b5-e8b1a1106059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a13f827d-388e-53be-8d2f-483992f90fff,tg:lhhs:16161_#1,e22_Archives,1,,,,,,,,,,,isad:lh:120613,"dlod={""name"":""1926 - God aan Zee"",""ark"":""ark:/24970/x0/b63661c2-6f4a-5d58-9c04-585f7965b1aa"",""uri"":""/repositories/11/archival_objects/12905594"",""id"":""isad:lh:120613"",""nameWithContext"":[""Werkstukken"",""Handschriften van Karel van de Woestijne"",""Lyrische Poëzie"",""Niet in Verzameld Werk""],""resourceName"":""Archief van Karel van de Woestijne"",""resourceArk"":""ark:/24970/x0/22848df6-4cec-5a42-9868-b4ee21b40291"",""resourceURI"":""/repositories/11/resources/19156"",""resourceID"":""isad:lh:179"",""capacity"":""1926 - God aan Zee"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/b63661c2-6f4a-5d58-9c04-585f7965b1aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a13f827d-388e-53be-8d2f-483992f90fff,tg:lhhs:16161_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,"15 x 11,5",,,,,,,,,,,,,"15 x 11,5 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a13f827d-388e-53be-8d2f-483992f90fff,tg:lhhs:16161_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,150,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a13f827d-388e-53be-8d2f-483992f90fff,tg:lhhs:16161_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,115,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a13f827d-388e-53be-8d2f-483992f90fff,tg:lhhs:16161_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,1,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a13f827d-388e-53be-8d2f-483992f90fff,tg:lhhs:16161_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,1,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a13f827d-388e-53be-8d2f-483992f90fff,tg:lhhs:16161_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhhs,tg:lhhs:16161_#1,isad:lh:120613,a13f827d-388e-53be-8d2f-483992f90fff,,127492,W 803 / H (4 (164) ),tr:lh:5904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
