ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
f61262e8-7947-5be0-9607-d68f6183bf65,tg:lhhs:6912_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:6912_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/f61262e8-7947-5be0-9607-d68f6183bf65,object identifier,,,,,,,,,,,
f61262e8-7947-5be0-9607-d68f6183bf65,tg:lhhs:6912_#1,e22_AcquisitionNumbers,1,,,,149681/28,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f61262e8-7947-5be0-9607-d68f6183bf65,tg:lhhs:6912_#1,e22_Acquisitions,1,tr:lh:6397,"dlod={""name"":""Archief van Staf Weyts"",""ark"":""ark:/24970/x0/878603a4-a484-5c7e-8b16-a487f887c7b9"",""uri"":""/repositories/11/accessions/684482"",""id"":""tr:lh:6397"",""date"":""1987-06-17"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/878603a4-a484-5c7e-8b16-a487f887c7b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f61262e8-7947-5be0-9607-d68f6183bf65,tg:lhhs:6912_#1,e22_Archives,1,,,,,,,,,,,isad:lh:153819,"dlod={""name"":""1933 - Coletje en Belleke"",""ark"":""ark:/24970/x0/c2fb8609-9948-582a-90df-630139d2a55e"",""uri"":""/repositories/11/archival_objects/16458636"",""id"":""isad:lh:153819"",""nameWithContext"":[""Werkstukken"",""Handschriften van Staf Weyts"",""Verhalend proza / Fictie""],""resourceName"":""Archief van Staf Weyts"",""resourceArk"":""ark:/24970/x0/d0008bb1-83b4-5c1a-a005-a3c7920ace78"",""resourceURI"":""/repositories/11/resources/913676"",""resourceID"":""isad:lh:8539"",""capacity"":""1933 - Coletje en Belleke"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/c2fb8609-9948-582a-90df-630139d2a55e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f61262e8-7947-5be0-9607-d68f6183bf65,tg:lhhs:6912_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,"27,9 x 21,6",,,,,,,,,,,,,"27,9 x 21,6 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f61262e8-7947-5be0-9607-d68f6183bf65,tg:lhhs:6912_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,279,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f61262e8-7947-5be0-9607-d68f6183bf65,tg:lhhs:6912_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,216,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f61262e8-7947-5be0-9607-d68f6183bf65,tg:lhhs:6912_#1,e22_DocumentStatus,1,,,,,,kenmerken.lhorighs,cc,,,,,,,,,,,,,,carbon copies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f61262e8-7947-5be0-9607-d68f6183bf65,tg:lhhs:6912_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,20,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f61262e8-7947-5be0-9607-d68f6183bf65,tg:lhhs:6912_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,20,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
