ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
e00da296-2321-5fee-9874-42eae6d8fc47,tg:lhhs:21204_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:21204_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/e00da296-2321-5fee-9874-42eae6d8fc47,object identifier,,,,,,,,,,,
e00da296-2321-5fee-9874-42eae6d8fc47,tg:lhhs:21204_#1,e22_Acquisitions,1,tr:lh:140537,"dlod={""name"":""Clauscollectie uit het Frans Redantarchief"",""ark"":""ark:/24970/x0/c0142cdf-4446-52af-807f-e2e9967e592a"",""uri"":""/repositories/11/accessions/15037462"",""id"":""tr:lh:140537"",""date"":""2017-07-04"",""granter"":""Universiteit Antwerpen"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/c0142cdf-4446-52af-807f-e2e9967e592a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e00da296-2321-5fee-9874-42eae6d8fc47,tg:lhhs:21204_#1,e22_Archives,1,,,,,,,,,,,isad:lh:185457,"dlod={""name"":""1948 - Registreren"",""ark"":""ark:/24970/x0/0de870c2-3260-593d-90dd-f8d29c007238"",""uri"":""/repositories/11/archival_objects/19843902"",""id"":""isad:lh:185457"",""nameWithContext"":[""Handschriften van Hugo Claus"",""Poezie""],""resourceName"":""Archief van Roger Raveel"",""resourceArk"":""ark:/24970/x0/e64999ba-fe04-5620-bcab-79e728d79827"",""resourceURI"":""/repositories/11/resources/19821325"",""resourceID"":""isad:lh:185246"",""capacity"":""1948 - Registreren"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/0de870c2-3260-593d-90dd-f8d29c007238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e00da296-2321-5fee-9874-42eae6d8fc47,tg:lhhs:21204_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,"27,2 x 20,3",,,,,,,,,,,,,"27,2 x 20,3 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e00da296-2321-5fee-9874-42eae6d8fc47,tg:lhhs:21204_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,272,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e00da296-2321-5fee-9874-42eae6d8fc47,tg:lhhs:21204_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,203,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e00da296-2321-5fee-9874-42eae6d8fc47,tg:lhhs:21204_#1,e22_DocumentStatus,1,,,,,,kenmerken.lhorighs,cc,,,,,,,,,,,,,,carbon copies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e00da296-2321-5fee-9874-42eae6d8fc47,tg:lhhs:21204_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,1,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e00da296-2321-5fee-9874-42eae6d8fc47,tg:lhhs:21204_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,1,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e00da296-2321-5fee-9874-42eae6d8fc47,tg:lhhs:21204_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhhs,tg:lhhs:21204_#1,isad:lh:185457,e00da296-2321-5fee-9874-42eae6d8fc47,R 22 / 13,,,tr:lh:140537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
