ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
5a839606-f499-5ab7-bd5d-cf5628fe1bed,tg:lhhs:8767_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:8767_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/5a839606-f499-5ab7-bd5d-cf5628fe1bed,object identifier,,,,,,,,,,,
5a839606-f499-5ab7-bd5d-cf5628fe1bed,tg:lhhs:8767_#1,e22_AcquisitionNumbers,1,,,,198506,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a839606-f499-5ab7-bd5d-cf5628fe1bed,tg:lhhs:8767_#1,e22_Acquisitions,1,tr:lh:7591,"dlod={""name"":""Aankoop bij De Librije"",""ark"":""ark:/24970/x0/3acca89a-a0e7-5672-a993-b423d392451c"",""uri"":""/repositories/11/accessions/812240"",""id"":""tr:lh:7591"",""date"":""2002-05-27"",""granter"":""De Librije"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/3acca89a-a0e7-5672-a993-b423d392451c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a839606-f499-5ab7-bd5d-cf5628fe1bed,tg:lhhs:8767_#1,e22_Archives,1,,,,,,,,,,,isad:lh:139035,"dlod={""name"":""Gedichten"",""ark"":""ark:/24970/x0/b7df9e7b-3ed7-5bfd-9327-91b9707da3bc"",""uri"":""/repositories/11/archival_objects/14876748"",""id"":""isad:lh:139035"",""nameWithContext"":[""Werkstukken"",""Handschriften"",""Poëzie""],""resourceName"":""Archief van Achilles Mussche"",""resourceArk"":""ark:/24970/x0/7e8fcd2e-cdff-5fea-af45-363d26bf0347"",""resourceURI"":""/repositories/11/resources/531579"",""resourceID"":""isad:lh:4968"",""capacity"":""Gedichten"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/b7df9e7b-3ed7-5bfd-9327-91b9707da3bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a839606-f499-5ab7-bd5d-cf5628fe1bed,tg:lhhs:8767_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,14 x 9,,,,,,,,,,,,,"14 x 9 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a839606-f499-5ab7-bd5d-cf5628fe1bed,tg:lhhs:8767_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,140,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a839606-f499-5ab7-bd5d-cf5628fe1bed,tg:lhhs:8767_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,90,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a839606-f499-5ab7-bd5d-cf5628fe1bed,tg:lhhs:8767_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,1,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a839606-f499-5ab7-bd5d-cf5628fe1bed,tg:lhhs:8767_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,1,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a839606-f499-5ab7-bd5d-cf5628fe1bed,tg:lhhs:8767_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhhs,tg:lhhs:8767_#1,isad:lh:139035,5a839606-f499-5ab7-bd5d-cf5628fe1bed,,198506,M 945 / H (1),tr:lh:7591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a839606-f499-5ab7-bd5d-cf5628fe1bed,tg:lhhs:8767_#1,e22_Materials,1,,,,,,kenmerken.lhschrijfhs,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ink,,,,,,,,,,,,,,,,,,,,,,,,,
5a839606-f499-5ab7-bd5d-cf5628fe1bed,tg:lhhs:8767_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhgenrehs,pz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manuscripts (documents),,,,,,,,,,
5a839606-f499-5ab7-bd5d-cf5628fe1bed,tg:lhhs:8767_#1,e22_ProductionTechniques,1,,,,,,kenmerken.lhstadiumhs,hs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,handwriting,,,,,,,,,,,,,,,,
5a839606-f499-5ab7-bd5d-cf5628fe1bed,tg:lhhs:8767_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
