ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
ace8eed9-b208-53fa-aeb5-616e6f872c7d,tg:lhhs:14014_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:14014_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/ace8eed9-b208-53fa-aeb5-616e6f872c7d,object identifier,,,,,,,,,,,
ace8eed9-b208-53fa-aeb5-616e6f872c7d,tg:lhhs:14014_#1,e22_AcquisitionNumbers,1,,,,168111,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace8eed9-b208-53fa-aeb5-616e6f872c7d,tg:lhhs:14014_#1,e22_Acquisitions,1,tr:lh:6788,"dlod={""name"":""Archiefstukken van Paul Vermeer"",""ark"":""ark:/24970/x0/9ae9b4da-3ad0-5259-ba6a-3a857270535a"",""uri"":""/repositories/11/accessions/726319"",""id"":""tr:lh:6788"",""date"":""1991-02-19"",""granter"":""Paul Vermeer"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/9ae9b4da-3ad0-5259-ba6a-3a857270535a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace8eed9-b208-53fa-aeb5-616e6f872c7d,tg:lhhs:14014_#1,e22_Archives,1,,,,,,,,,,,isad:lh:91527,"dlod={""name"":""2"",""ark"":""ark:/24970/x0/779fc926-768a-5fde-a12f-5eb21da0d373"",""uri"":""/repositories/11/archival_objects/9793392"",""id"":""isad:lh:91527"",""nameWithContext"":[""Werkstukken"",""Handschriften van Paul Vermeer"",""Beschouwend proza / Non-fictie""],""resourceName"":""Archief van Paul Vermeer"",""resourceArk"":""ark:/24970/x0/2c22864f-26aa-5f34-95e8-1bfd02622264"",""resourceURI"":""/repositories/11/resources/3225090"",""resourceID"":""isad:lh:30141"",""capacity"":""2"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/779fc926-768a-5fde-a12f-5eb21da0d373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace8eed9-b208-53fa-aeb5-616e6f872c7d,tg:lhhs:14014_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,"29,3 x 22,4",,,,,,,,,,,,,"29,3 x 22,4 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace8eed9-b208-53fa-aeb5-616e6f872c7d,tg:lhhs:14014_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,293,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace8eed9-b208-53fa-aeb5-616e6f872c7d,tg:lhhs:14014_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,224,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace8eed9-b208-53fa-aeb5-616e6f872c7d,tg:lhhs:14014_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,1,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace8eed9-b208-53fa-aeb5-616e6f872c7d,tg:lhhs:14014_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,1,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace8eed9-b208-53fa-aeb5-616e6f872c7d,tg:lhhs:14014_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhhs,tg:lhhs:14014_#1,isad:lh:91527,ace8eed9-b208-53fa-aeb5-616e6f872c7d,,168111,V 454 / H (2),tr:lh:6788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
