ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
9cf55aed-9acc-529c-b698-46143c9623ff,tg:lhhs:19995_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:19995_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/9cf55aed-9acc-529c-b698-46143c9623ff,object identifier,,,,,,,,,,,
9cf55aed-9acc-529c-b698-46143c9623ff,tg:lhhs:19995_#1,e22_AcquisitionNumbers,1,,,,145851/1,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9cf55aed-9acc-529c-b698-46143c9623ff,tg:lhhs:19995_#1,e22_Acquisitions,1,tr:lh:6276,"dlod={""name"":""Archief van Jozef Rijkhard R. van Gerven"",""ark"":""ark:/24970/x0/e3b44140-75d1-5134-8c22-2a81fcc81319"",""uri"":""/repositories/11/accessions/671535"",""id"":""tr:lh:6276"",""date"":""1986-05-09"",""granter"":""(Mevr.) L. van Gerven"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/e3b44140-75d1-5134-8c22-2a81fcc81319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9cf55aed-9acc-529c-b698-46143c9623ff,tg:lhhs:19995_#1,e22_Archives,1,,,,,,,,,,,isad:lh:168900,"dlod={""name"":""'Dine, zijn dradenkind'"",""ark"":""ark:/24970/x0/684df5a5-9b1a-5cc5-bde4-26880e9d837c"",""uri"":""/repositories/11/archival_objects/18072303"",""id"":""isad:lh:168900"",""nameWithContext"":[""Werkstukken"",""Handschriften van Jozef Rijkhard R. van Gerven"",""Verhalend proza""],""resourceName"":""Archief van Jozef Rijkhard R. van Gerven"",""resourceArk"":""ark:/24970/x0/9ef0b803-24b3-5f13-bab8-3f7d5701076e"",""resourceURI"":""/repositories/11/resources/2688378"",""resourceID"":""isad:lh:25125"",""capacity"":""'Dine, zijn dradenkind'"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/684df5a5-9b1a-5cc5-bde4-26880e9d837c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9cf55aed-9acc-529c-b698-46143c9623ff,tg:lhhs:19995_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,"29,7 x 21,5",,,,,,,,,,,,,"29,7 x 21,5 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9cf55aed-9acc-529c-b698-46143c9623ff,tg:lhhs:19995_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,297,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9cf55aed-9acc-529c-b698-46143c9623ff,tg:lhhs:19995_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,215,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9cf55aed-9acc-529c-b698-46143c9623ff,tg:lhhs:19995_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,360,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9cf55aed-9acc-529c-b698-46143c9623ff,tg:lhhs:19995_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,360,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9cf55aed-9acc-529c-b698-46143c9623ff,tg:lhhs:19995_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhhs,tg:lhhs:19995_#1,isad:lh:168900,9cf55aed-9acc-529c-b698-46143c9623ff,,145851/1,,tr:lh:6276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
