ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
03b58cdc-0a2f-5e32-b4d9-732239f280e6,tg:lhhs:13345_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:13345_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/03b58cdc-0a2f-5e32-b4d9-732239f280e6,object identifier,,,,,,,,,,,
03b58cdc-0a2f-5e32-b4d9-732239f280e6,tg:lhhs:13345_#1,e22_AcquisitionNumbers,1,,,,177301,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03b58cdc-0a2f-5e32-b4d9-732239f280e6,tg:lhhs:13345_#1,e22_Acquisitions,1,tr:lh:7042,"dlod={""name"":""Archiefstukken van Hubert Lampo"",""ark"":""ark:/24970/x0/77102783-a404-5475-95b8-4e83b74993e1"",""uri"":""/repositories/11/accessions/753497"",""id"":""tr:lh:7042"",""date"":""1993-04-01"",""granter"":""Hubert Lampo"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/77102783-a404-5475-95b8-4e83b74993e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03b58cdc-0a2f-5e32-b4d9-732239f280e6,tg:lhhs:13345_#1,e22_Archives,1,,,,,,,,,,,isad:lh:175033,"dlod={""name"":""Bres"",""ark"":""ark:/24970/x0/ee19a129-10d2-5ec5-b8dc-221f73237e45"",""uri"":""/repositories/11/archival_objects/18728534"",""id"":""isad:lh:175033"",""nameWithContext"":[""Werkstukken"",""Handschriften van Hubert Lampo"",""Beschouwend proza / Non-fictie"",""Artikels"",""Bijdragen in tijdschriften en dagbladen"",""Recensies""],""resourceName"":""Archief van Hubert Lampo"",""resourceArk"":""ark:/24970/x0/e429ee16-915e-59bf-841d-39f81faa404e"",""resourceURI"":""/repositories/11/resources/940640"",""resourceID"":""isad:lh:8791"",""capacity"":""Bres"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/ee19a129-10d2-5ec5-b8dc-221f73237e45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03b58cdc-0a2f-5e32-b4d9-732239f280e6,tg:lhhs:13345_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,"21,5 x 34,5",,,,,,,,,,,,,"21,5 x 34,5 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03b58cdc-0a2f-5e32-b4d9-732239f280e6,tg:lhhs:13345_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,215,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03b58cdc-0a2f-5e32-b4d9-732239f280e6,tg:lhhs:13345_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,345,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03b58cdc-0a2f-5e32-b4d9-732239f280e6,tg:lhhs:13345_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,15,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03b58cdc-0a2f-5e32-b4d9-732239f280e6,tg:lhhs:13345_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,15,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03b58cdc-0a2f-5e32-b4d9-732239f280e6,tg:lhhs:13345_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhhs,tg:lhhs:13345_#1,isad:lh:175033,03b58cdc-0a2f-5e32-b4d9-732239f280e6,L 179 / 342,177301,,tr:lh:7042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
