ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
e9f8693b-57da-5386-a629-6643aa4aa9ac,tg:lhph:40668_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:40668_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/e9f8693b-57da-5386-a629-6643aa4aa9ac,object identifier,,,,,,,,,,
e9f8693b-57da-5386-a629-6643aa4aa9ac,tg:lhph:40668_#1,e22_AcquisitionNumbers,1,174146/2,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9f8693b-57da-5386-a629-6643aa4aa9ac,tg:lhph:40668_#1,e22_Acquisitions,1,,,tr:lh:6970,"dlod={""name"":""Aankoop bij Kunsthandel De Roos"",""ark"":""ark:/24970/x0/d29d502e-9822-5e78-8487-ed593f98b908"",""uri"":""/repositories/11/accessions/745793"",""id"":""tr:lh:6970"",""date"":""1991-05-09"",""granter"":""Kunsthandel De Roos"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/d29d502e-9822-5e78-8487-ed593f98b908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9f8693b-57da-5386-a629-6643aa4aa9ac,tg:lhph:40668_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,150 x 222,,,,,,,,,,"150 x 222 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9f8693b-57da-5386-a629-6643aa4aa9ac,tg:lhph:40668_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,150,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9f8693b-57da-5386-a629-6643aa4aa9ac,tg:lhph:40668_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,222,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9f8693b-57da-5386-a629-6643aa4aa9ac,tg:lhph:40668_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:40668_#1,174146/2,B 7305 / P,e9f8693b-57da-5386-a629-6643aa4aa9ac,tr:lh:6970,,,,,,,,,,,,,,,,,,,,,,,
e9f8693b-57da-5386-a629-6643aa4aa9ac,tg:lhph:40668_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
e9f8693b-57da-5386-a629-6643aa4aa9ac,tg:lhph:40668_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932.0,permission required,,,,,,,,
e9f8693b-57da-5386-a629-6643aa4aa9ac,tg:lhph:40668_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PBPYSLFeNLYEaZLbF2GvXjtn,lhph,https://dams.antwerpen.be/iiif/PBPYSLFeNLYEaZLbF2GvXjtn/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/PBPYSLFeNLYEaZLbF2GvXjtn,DAMS Image,lhph,Foto
