ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
e8f2f239-693a-5c69-9ec3-142a6cc03d19,tg:lhph:1296_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:1296_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/e8f2f239-693a-5c69-9ec3-142a6cc03d19,object identifier,,,,,,,,,,
e8f2f239-693a-5c69-9ec3-142a6cc03d19,tg:lhph:1296_#1,e22_AcquisitionNumbers,1,184428/3,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8f2f239-693a-5c69-9ec3-142a6cc03d19,tg:lhph:1296_#1,e22_Acquisitions,1,,,tr:lh:7316,"dlod={""name"":""Oningeschreven gevonden in 1996"",""ark"":""ark:/24970/x0/8c9efdfb-37a8-506c-9aca-a6a774a10a4d"",""uri"":""/repositories/11/accessions/782815"",""id"":""tr:lh:7316"",""date"":""1996-11-04"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/8c9efdfb-37a8-506c-9aca-a6a774a10a4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8f2f239-693a-5c69-9ec3-142a6cc03d19,tg:lhph:1296_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,239 x 177,,,,,,,,,,"239 x 177 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8f2f239-693a-5c69-9ec3-142a6cc03d19,tg:lhph:1296_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,239,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8f2f239-693a-5c69-9ec3-142a6cc03d19,tg:lhph:1296_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,177,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8f2f239-693a-5c69-9ec3-142a6cc03d19,tg:lhph:1296_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:1296_#1,184428/3,R 3749 / P,e8f2f239-693a-5c69-9ec3-142a6cc03d19,tr:lh:7316,,,,,,,,,,,,,,,,,,,,,,,
e8f2f239-693a-5c69-9ec3-142a6cc03d19,tg:lhph:1296_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
e8f2f239-693a-5c69-9ec3-142a6cc03d19,tg:lhph:1296_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0,permission required,,,,,,,,
e8f2f239-693a-5c69-9ec3-142a6cc03d19,tg:lhph:1296_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AATVUbiogUaSMmg3aoDJRZX7,lhph,https://dams.antwerpen.be/iiif/AATVUbiogUaSMmg3aoDJRZX7/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/AATVUbiogUaSMmg3aoDJRZX7,DAMS Image,lhph,Foto
