ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
554d25be-90f8-5bac-8859-382d99e4fc9f,tg:lhph:12356_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:12356_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/554d25be-90f8-5bac-8859-382d99e4fc9f,object identifier,,,,,,,,,,
554d25be-90f8-5bac-8859-382d99e4fc9f,tg:lhph:12356_#1,e22_AcquisitionNumbers,1,86561/23,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554d25be-90f8-5bac-8859-382d99e4fc9f,tg:lhph:12356_#1,e22_Acquisitions,1,,,tr:lh:4427,"dlod={""name"":""Aankoop bij Raoul van den Boom"",""ark"":""ark:/24970/x0/f9baa513-bf03-5b5f-a69b-4b9dfca45fa7"",""uri"":""/repositories/11/accessions/473692"",""id"":""tr:lh:4427"",""date"":""1971-03-23"",""granter"":""Raoul van den Boom"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/f9baa513-bf03-5b5f-a69b-4b9dfca45fa7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554d25be-90f8-5bac-8859-382d99e4fc9f,tg:lhph:12356_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,233 x 173,,,,,,,,,,"233 x 173 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554d25be-90f8-5bac-8859-382d99e4fc9f,tg:lhph:12356_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,233,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554d25be-90f8-5bac-8859-382d99e4fc9f,tg:lhph:12356_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,173,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554d25be-90f8-5bac-8859-382d99e4fc9f,tg:lhph:12356_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:12356_#1,86561/23,B 808 / P,554d25be-90f8-5bac-8859-382d99e4fc9f,tr:lh:4427,,,,,,,,,,,,,,,,,,,,,,,
554d25be-90f8-5bac-8859-382d99e4fc9f,tg:lhph:12356_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
554d25be-90f8-5bac-8859-382d99e4fc9f,tg:lhph:12356_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
554d25be-90f8-5bac-8859-382d99e4fc9f,tg:lhph:12356_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z2oKXggrBkdVWOXjEhidE11j,lhph,https://dams.antwerpen.be/iiif/z2oKXggrBkdVWOXjEhidE11j/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/z2oKXggrBkdVWOXjEhidE11j,DAMS Image,lhph,Foto
