ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
1e9bfa6b-01fd-53d4-8d1e-3385b21f9a79,tg:lhph:27062_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:27062_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/1e9bfa6b-01fd-53d4-8d1e-3385b21f9a79,object identifier,,,,,,,,,,
1e9bfa6b-01fd-53d4-8d1e-3385b21f9a79,tg:lhph:27062_#1,e22_AcquisitionNumbers,1,72391,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e9bfa6b-01fd-53d4-8d1e-3385b21f9a79,tg:lhph:27062_#1,e22_Acquisitions,1,,,tr:lh:3767,"dlod={""name"":""Schenking van Belgisch Instituut voor Voorlichting en Documentatie"",""ark"":""ark:/24970/x0/0f629206-73d0-55e1-a159-4de2414bddd7"",""uri"":""/repositories/11/accessions/403072"",""id"":""tr:lh:3767"",""date"":""1965-07-12"",""granter"":""Belgisch Instituut voor Voorlichting en Documentatie"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/0f629206-73d0-55e1-a159-4de2414bddd7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e9bfa6b-01fd-53d4-8d1e-3385b21f9a79,tg:lhph:27062_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,240 x 180,,,,,,,,,,"240 x 180 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e9bfa6b-01fd-53d4-8d1e-3385b21f9a79,tg:lhph:27062_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,240,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e9bfa6b-01fd-53d4-8d1e-3385b21f9a79,tg:lhph:27062_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,180,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e9bfa6b-01fd-53d4-8d1e-3385b21f9a79,tg:lhph:27062_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:27062_#1,72391,P 2853 / P,1e9bfa6b-01fd-53d4-8d1e-3385b21f9a79,tr:lh:3767,,,,,,,,,,,,,,,,,,,,,,,
1e9bfa6b-01fd-53d4-8d1e-3385b21f9a79,tg:lhph:27062_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
1e9bfa6b-01fd-53d4-8d1e-3385b21f9a79,tg:lhph:27062_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970.0,permission required,,,,,,,,
1e9bfa6b-01fd-53d4-8d1e-3385b21f9a79,tg:lhph:27062_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1SNHiaLOLRKKlDed1Huj9NI,lhph,https://dams.antwerpen.be/iiif/o1SNHiaLOLRKKlDed1Huj9NI/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/o1SNHiaLOLRKKlDed1Huj9NI,DAMS Image,lhph,Foto
