ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
d2255a34-7426-50f7-8acf-56a359625312,tg:lhph:14062_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:14062_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/d2255a34-7426-50f7-8acf-56a359625312,object identifier,,,,,,,,,,
d2255a34-7426-50f7-8acf-56a359625312,tg:lhph:14062_#1,e22_AcquisitionNumbers,1,178938/5,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2255a34-7426-50f7-8acf-56a359625312,tg:lhph:14062_#1,e22_Acquisitions,1,,,tr:lh:7169,"dlod={""name"":""Schenking van Emiel Willekens"",""ark"":""ark:/24970/x0/a26f43ef-dd0b-56b4-9f9e-d2d7d5321f7a"",""uri"":""/repositories/11/accessions/767086"",""id"":""tr:lh:7169"",""date"":""1994-09-12"",""granter"":""Emiel Willekens"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/a26f43ef-dd0b-56b4-9f9e-d2d7d5321f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2255a34-7426-50f7-8acf-56a359625312,tg:lhph:14062_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,115 x 188,,,,,,,,,,"115 x 188 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2255a34-7426-50f7-8acf-56a359625312,tg:lhph:14062_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,115,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2255a34-7426-50f7-8acf-56a359625312,tg:lhph:14062_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,188,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2255a34-7426-50f7-8acf-56a359625312,tg:lhph:14062_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:14062_#1,178938/5,C 4962 / P,d2255a34-7426-50f7-8acf-56a359625312,tr:lh:7169,,,,,,,,,,,,,,,,,,,,,,,
d2255a34-7426-50f7-8acf-56a359625312,tg:lhph:14062_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
d2255a34-7426-50f7-8acf-56a359625312,tg:lhph:14062_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
d2255a34-7426-50f7-8acf-56a359625312,tg:lhph:14062_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X1PpZOMDcqSWFVPcHZwPOCWx,lhph,https://dams.antwerpen.be/iiif/X1PpZOMDcqSWFVPcHZwPOCWx/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/X1PpZOMDcqSWFVPcHZwPOCWx,DAMS Image,lhph,Foto
