ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
26da53ea-bae4-556e-ae4f-dc57e720555d,tg:lhph:12237_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:12237_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/26da53ea-bae4-556e-ae4f-dc57e720555d,object identifier,,,,,,,,,,
26da53ea-bae4-556e-ae4f-dc57e720555d,tg:lhph:12237_#1,e22_AcquisitionNumbers,1,234548,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26da53ea-bae4-556e-ae4f-dc57e720555d,tg:lhph:12237_#1,e22_Acquisitions,1,,,tr:lh:9775,"dlod={""name"":""Schenking van André van Putte"",""ark"":""ark:/24970/x0/b657e0d3-1e40-572e-8bed-946b334d6366"",""uri"":""/repositories/11/accessions/1045928"",""id"":""tr:lh:9775"",""date"":""1986-05-02"",""granter"":""André van Putte"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/b657e0d3-1e40-572e-8bed-946b334d6366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26da53ea-bae4-556e-ae4f-dc57e720555d,tg:lhph:12237_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,240 x 178,,,,,,,,,,"240 x 178 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26da53ea-bae4-556e-ae4f-dc57e720555d,tg:lhph:12237_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,240,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26da53ea-bae4-556e-ae4f-dc57e720555d,tg:lhph:12237_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,178,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26da53ea-bae4-556e-ae4f-dc57e720555d,tg:lhph:12237_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:12237_#1,234548,B 7062 / P,26da53ea-bae4-556e-ae4f-dc57e720555d,tr:lh:9775,,,,,,,,,,,,,,,,,,,,,,,
26da53ea-bae4-556e-ae4f-dc57e720555d,tg:lhph:12237_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
26da53ea-bae4-556e-ae4f-dc57e720555d,tg:lhph:12237_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0,permission required,,,,,,,,
26da53ea-bae4-556e-ae4f-dc57e720555d,tg:lhph:12237_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EYx8eFtCcWORYf5PEX5dPiY7,lhph,https://dams.antwerpen.be/iiif/EYx8eFtCcWORYf5PEX5dPiY7/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/EYx8eFtCcWORYf5PEX5dPiY7,DAMS Image,lhph,Foto
