ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
1b13250b-4b68-5a8b-8af3-20f42f9355fb,tg:lhph:7840_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:7840_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/1b13250b-4b68-5a8b-8af3-20f42f9355fb,object identifier,,,,,,,,,,
1b13250b-4b68-5a8b-8af3-20f42f9355fb,tg:lhph:7840_#1,e22_AcquisitionNumbers,1,74177/4,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b13250b-4b68-5a8b-8af3-20f42f9355fb,tg:lhph:7840_#1,e22_Acquisitions,1,,,tr:lh:3845,"dlod={""name"":""Aankoop bij Anton Hardy"",""ark"":""ark:/24970/x0/329120dd-b0ff-5b78-90f3-f1cfc6c40f84"",""uri"":""/repositories/11/accessions/411418"",""id"":""tr:lh:3845"",""date"":""1966-02-10"",""granter"":""Anton Hardy"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/329120dd-b0ff-5b78-90f3-f1cfc6c40f84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b13250b-4b68-5a8b-8af3-20f42f9355fb,tg:lhph:7840_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,174 x 230,,,,,,,,,,"174 x 230 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b13250b-4b68-5a8b-8af3-20f42f9355fb,tg:lhph:7840_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,174,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b13250b-4b68-5a8b-8af3-20f42f9355fb,tg:lhph:7840_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,230,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b13250b-4b68-5a8b-8af3-20f42f9355fb,tg:lhph:7840_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:7840_#1,74177/4,V 563 / P,1b13250b-4b68-5a8b-8af3-20f42f9355fb,tr:lh:3845,,,,,,,,,,,,,,,,,,,,,,,
1b13250b-4b68-5a8b-8af3-20f42f9355fb,tg:lhph:7840_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
1b13250b-4b68-5a8b-8af3-20f42f9355fb,tg:lhph:7840_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0,permission required,,,,,,,,
1b13250b-4b68-5a8b-8af3-20f42f9355fb,tg:lhph:7840_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThmQteSGLFUOdSOpkAG7kUNL,lhph,https://dams.antwerpen.be/iiif/ThmQteSGLFUOdSOpkAG7kUNL/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/ThmQteSGLFUOdSOpkAG7kUNL,DAMS Image,lhph,Foto
